code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
DCE.y.HOT,LONG,202108312110,9082,202108312115,9068,1,-140,40,-160,-172.19,,,1,2
DCE.c.HOT,LONG,202108312110,2479,202108312125,2476,1,-30,10,-30,-206.21,,,1,4
DCE.y.HOT,LONG,202108312110,9082,202108312135,9064,1,-180,50,-340,-387.42,,,1,6
DCE.c.HOT,LONG,202108312110,2479,202108312140,2476,1,-30,12.5,-50,-419.93,,,1,7
DCE.y.HOT,LONG,202108312110,9082,202108312155,9034,1,-480,66.6667,-600,-901.14,,,1,10
DCE.m.HOT,LONG,202108312110,3508,202108312205,3493,1,-150,80,-180,-1053.65,,,1,12
DCE.y.HOT,LONG,202108312110,9082,202108312205,8996,1,-860,100,-900,-1913.65,,,1,12
DCE.c.HOT,LONG,202108312110,2479,202108312205,2477,1,-20,16.6667,-70,-1933.65,,,1,12
DCE.cs.HOT,SHORT,202108312110,2827,202108312215,2848,1,-210,40,-240,-2146.37,,,1,14
DCE.y.HOT,LONG,202108312110,9082,202108312225,8984,1,-980,200,-1800,-3130.39,,,1,16
DCE.c.HOT,LONG,202108312110,2479,202108312235,2478,1,-10,40,-105,-3142.9,,,1,18
DCE.c.HOT,LONG,202108312110,2479,202108312255,2477,1,-20,80,-210,-3164.11,,,1,22
DCE.cs.HOT,SHORT,202108312110,2827,202108312300,2844,1,-170,53.3333,-320,-3335.32,,,1,23
DCE.c.HOT,LONG,202108312130,2474,202109010905,2477,1,30,90,-20,-3305.32,,,5,24
DCE.cs.HOT,SHORT,202108312110,2827,202109010910,2850,1,-230,80,-480,-3538.04,,,1,25
DCE.m.HOT,LONG,202108312110,3508,202109010915,3491,1,-170,100,-230,-3708.04,,,1,26
DCE.y.HOT,LONG,202108312120,9058,202109010930,8968,1,-900,180,-1160,-4611.06,,,3,29
DCE.cs.HOT,SHORT,202108312110,2827,202109010930,2855,1,-280,160,-960,-4891.06,,,1,29
DCE.m.HOT,LONG,202108312110,3508,202109010935,3486,1,-220,133.333,-306.667,-5111.06,,,1,30
DCE.y.HOT,LONG,202108312140,9068,202109010945,8960,1,-1080,80,-1260,-6196.59,,,7,32
DCE.y.HOT,LONG,202108312200,9016,202109010955,8950,1,-660,0,-740,-6859.1,,,11,34
DCE.cs.HOT,SHORT,202108312115,2828,202109011035,2864,1,-360,20,-390,-7221.61,,,2,39
DCE.c.HOT,LONG,202108312145,2475,202109011040,2471,1,-40,80,-40,-7261.61,,,8,40
DCE.y.HOT,LONG,202108312220,8990,202109011050,8936,1,-540,60,-620,-7804.33,,,15,42
DCE.cs.HOT,SHORT,202108312220,2845,202109011055,2862,1,-170,70,-220,-7976.84,,,15,43
DCE.c.HOT,LONG,202108312210,2480,202109011100,2474,1,-60,30,-90,-8036.84,,,13,44
DCE.y.HOT,LONG,202108312235,8966,202109011105,8970,1,40,260,-380,-7998.35,,,18,45
DCE.c.HOT,LONG,202108312240,2480,202109011110,2475,1,-50,20,-90,-8052.07,,,19,46
DCE.m.HOT,LONG,202108312110,3508,202109011115,3494,1,-140,200,-460,-8192.07,,,1,47
DCE.cs.HOT,SHORT,202109010905,2839,202109011115,2861,1,-220,10,-280,-8413.28,,,24,47
DCE.cs.HOT,SHORT,202109010915,2863,202109011125,2861,1,20,90,-40,-8396.3,,,26,49
DCE.m.HOT,LONG,202108312110,3508,202109011350,3494,1,-140,400,-920,-8537.81,,,1,54
DCE.c.HOT,LONG,202108312300,2478,202109011350,2472,1,-60,40,-80,-8597.81,,,23,54
DCE.m.HOT,LONG,202108312210,3488,202109011400,3494,1,60,120,-90,-8540.53,,,13,56
DCE.m.HOT,LONG,202109010920,3489,202109011415,3496,1,70,110,-100,-8472.04,,,27,59
DCE.y.HOT,LONG,202109010935,8958,202109011430,8944,1,-140,320,-300,-8613.55,,,30,62
DCE.m.HOT,LONG,202109010940,3485,202109011440,3492,1,70,150,-10,-8546.06,,,31,64
DCE.y.HOT,LONG,202109010950,8964,202109011445,8932,1,-320,260,-400,-8867.57,,,33,65
DCE.cs.HOT,SHORT,202109010935,2854,202109011500,2863,1,-90,40,-130,-8960.08,,,30,68
DCE.m.HOT,LONG,202109011125,3497,202109012110,3492,1,-50,20,-100,-9011.59,,,49,70
DCE.c.HOT,LONG,202109010910,2475,202109012115,2468,1,-70,70,-130,-9085.82,,,25,71
DCE.cs.HOT,SHORT,202109011045,2861,202109012120,2876,1,-150,110,-330,-9238.54,,,41,72
