code,time,direct,action,price,qty,tag,fee,barno
DCE.m.HOT,202108312110,LONG,OPEN,3508,5,,7.55,1
DCE.y.HOT,202108312110,LONG,OPEN,9082,5,,12.55,1
DCE.c.HOT,202108312110,LONG,OPEN,2479,5,,6.05,1
DCE.cs.HOT,202108312110,SHORT,OPEN,2827,4,,6.04,1
DCE.y.HOT,202108312115,LONG,CLOSE,9068,1,,0,2
DCE.cs.HOT,202108312115,SHORT,OPEN,2828,1,,1.51,2
DCE.y.HOT,202108312120,LONG,OPEN,9058,1,,2.51,3
DCE.c.HOT,202108312125,LONG,CLOSE,2476,1,,0,4
DCE.c.HOT,202108312130,LONG,OPEN,2474,1,,1.21,5
DCE.y.HOT,202108312135,LONG,CLOSE,9064,1,,0,6
DCE.y.HOT,202108312140,LONG,OPEN,9068,1,,2.51,7
DCE.c.HOT,202108312140,LONG,CLOSE,2476,1,,0,7
DCE.c.HOT,202108312145,LONG,OPEN,2475,1,,1.21,8
DCE.y.HOT,202108312155,LONG,CLOSE,9034,1,,0,10
DCE.y.HOT,202108312200,LONG,OPEN,9016,1,,2.51,11
DCE.m.HOT,202108312205,LONG,CLOSE,3493,1,,0,12
DCE.y.HOT,202108312205,LONG,CLOSE,8996,1,,0,12
DCE.c.HOT,202108312205,LONG,CLOSE,2477,1,,0,12
DCE.m.HOT,202108312210,LONG,OPEN,3488,1,,1.51,13
DCE.c.HOT,202108312210,LONG,OPEN,2480,1,,1.21,13
DCE.cs.HOT,202108312215,SHORT,CLOSE,2848,1,,0,14
DCE.y.HOT,202108312220,LONG,OPEN,8990,1,,2.51,15
DCE.cs.HOT,202108312220,SHORT,OPEN,2845,1,,1.51,15
DCE.y.HOT,202108312225,LONG,CLOSE,8984,1,,0,16
DCE.y.HOT,202108312235,LONG,OPEN,8966,1,,2.51,18
DCE.c.HOT,202108312235,LONG,CLOSE,2478,1,,0,18
DCE.c.HOT,202108312240,LONG,OPEN,2480,1,,1.21,19
DCE.c.HOT,202108312255,LONG,CLOSE,2477,1,,0,22
DCE.c.HOT,202108312300,LONG,OPEN,2478,1,,1.21,23
DCE.cs.HOT,202108312300,SHORT,CLOSE,2844,1,,0,23
DCE.c.HOT,202109010905,LONG,CLOSE,2477,1,,0,24
DCE.cs.HOT,202109010905,SHORT,OPEN,2839,1,,1.51,24
DCE.c.HOT,202109010910,LONG,OPEN,2475,1,,1.21,25
DCE.cs.HOT,202109010910,SHORT,CLOSE,2850,1,,0,25
DCE.m.HOT,202109010915,LONG,CLOSE,3491,1,,0,26
DCE.cs.HOT,202109010915,SHORT,OPEN,2863,1,,1.51,26
DCE.m.HOT,202109010920,LONG,OPEN,3489,1,,1.51,27
DCE.y.HOT,202109010930,LONG,CLOSE,8968,1,,0,29
DCE.cs.HOT,202109010930,SHORT,CLOSE,2855,1,,0,29
DCE.m.HOT,202109010935,LONG,CLOSE,3486,1,,0,30
DCE.y.HOT,202109010935,LONG,OPEN,8958,1,,2.51,30
DCE.cs.HOT,202109010935,SHORT,OPEN,2854,1,,1.51,30
DCE.m.HOT,202109010940,LONG,OPEN,3485,1,,1.51,31
DCE.y.HOT,202109010945,LONG,CLOSE,8960,1,,0,32
DCE.y.HOT,202109010950,LONG,OPEN,8964,1,,2.51,33
DCE.y.HOT,202109010955,LONG,CLOSE,8950,1,,0,34
DCE.y.HOT,202109011005,LONG,OPEN,8962,1,,2.51,36
DCE.cs.HOT,202109011035,SHORT,CLOSE,2864,1,,0,39
DCE.c.HOT,202109011040,LONG,CLOSE,2471,1,,0,40
DCE.c.HOT,202109011045,LONG,OPEN,2472,1,,1.21,41
DCE.cs.HOT,202109011045,SHORT,OPEN,2861,1,,1.51,41
DCE.y.HOT,202109011050,LONG,CLOSE,8936,1,,0,42
DCE.y.HOT,202109011055,LONG,OPEN,8934,1,,2.51,43
DCE.cs.HOT,202109011055,SHORT,CLOSE,2862,1,,0,43
DCE.c.HOT,202109011100,LONG,CLOSE,2474,1,,0,44
DCE.cs.HOT,202109011100,SHORT,OPEN,2861,1,,1.51,44
DCE.y.HOT,202109011105,LONG,CLOSE,8970,1,,0,45
DCE.c.HOT,202109011105,LONG,OPEN,2472,1,,1.21,45
DCE.y.HOT,202109011110,LONG,OPEN,8986,1,,2.51,46
DCE.c.HOT,202109011110,LONG,CLOSE,2475,1,,0,46
DCE.m.HOT,202109011115,LONG,CLOSE,3494,1,,0,47
DCE.c.HOT,202109011115,LONG,OPEN,2475,1,,1.21,47
DCE.cs.HOT,202109011115,SHORT,CLOSE,2861,1,,0,47
DCE.cs.HOT,202109011120,SHORT,OPEN,2862,1,,1.51,48
DCE.m.HOT,202109011125,LONG,OPEN,3497,1,,1.51,49
