date,closeprofit,positionprofit,dynbalance,fee
20210901,-8860.00,-1490.00,-10450.08,100.08
20210902,-12040.00,730.00,-11504.53,194.53
20210903,570.00,-180.00,92.56,297.44
20210906,380.00,720.00,700.55,399.45
20210907,3540.00,1520.00,4552.32,507.68
20210908,3490.00,450.00,3320.73,619.27
20210909,-80.00,2060.00,1248.36,731.64
20210910,-1980.00,-6240.00,-9066.13,846.13
20210913,-2650.00,-1560.00,-5153.21,943.21
20210914,-5120.00,1220.00,-4926.02,1026.02
20210915,-3960.00,1600.00,-3486.61,1126.61
20210916,10.00,450.00,-767.08,1227.08
20210917,-11620.00,-990.00,-13951.64,1341.64
20210922,-12540.00,1440.00,-12516.78,1416.78
20210923,-8350.00,10520.00,670.74,1499.26
20210924,2020.00,190.00,622.70,1587.30
20210927,-1210.00,-2950.00,-5846.19,1686.19
20210928,-6050.00,2110.00,-5738.68,1798.68
20210929,-10080.00,860.00,-11103.00,1883.00
20210930,230.00,1310.00,-440.78,1980.78
20211008,15760.00,260.00,13976.36,2043.64
20211011,20840.00,-2920.00,15777.19,2142.81
20211012,11780.00,250.00,9781.28,2248.72
20211013,6070.00,3750.00,7468.06,2351.94
20211014,3660.00,1630.00,2842.91,2447.09
20211015,4780.00,5790.00,8030.16,2539.84
20211018,9720.00,4920.00,12006.60,2633.40
20211019,14200.00,-860.00,10622.19,2717.81
20211020,15350.00,7900.00,20434.11,2815.89
20211021,32610.00,-8260.00,21438.24,2911.76
20211022,7270.00,460.00,4718.65,3011.35
20211025,11320.00,-930.00,7288.92,3101.08
20211026,20020.00,-980.00,15834.40,3205.60
20211027,16160.00,-2690.00,10168.13,3301.87
20211028,9390.00,1610.00,7618.46,3381.54
