code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
DCE.c.HOT,LONG,202108312110,2479,202108312115,2477,1,-20,10,-30,-53.7,,,1,2
DCE.y.HOT,LONG,202108312110,9082,202108312120,9058,1,-240,40,-320,-293.7,,,1,3
DCE.m.HOT,LONG,202108312110,3508,202108312135,3514,1,60,80,-10,-237.42,,,1,6
DCE.c.HOT,LONG,202108312110,2479,202108312145,2475,1,-40,12.5,-60,-278.93,,,1,8
DCE.m.HOT,LONG,202108312110,3508,202108312200,3493,1,-150,100,-160,-430.14,,,1,11
DCE.c.HOT,LONG,202108312110,2479,202108312200,2472,1,-70,16.6667,-80,-500.14,,,1,11
DCE.cs.HOT,SHORT,202108312110,2827,202108312230,2845,1,-180,40,-240,-682.86,,,1,17
DCE.y.HOT,LONG,202108312110,9082,202108312235,8966,1,-1160,50,-1220,-1842.86,,,1,18
DCE.c.HOT,LONG,202108312110,2479,202108312250,2480,1,10,40,-120,-1836.88,,,1,21
DCE.m.HOT,LONG,202108312110,3508,202109010905,3498,1,-100,133.333,-230,-1938.09,,,1,24
DCE.c.HOT,LONG,202108312110,2479,202109010910,2475,1,-40,80,-240,-1979.6,,,1,25
DCE.m.HOT,LONG,202108312110,3508,202109010935,3486,1,-220,200,-345,-2200.81,,,1,30
DCE.c.HOT,LONG,202108312120,2479,202109010935,2479,1,0,40,-70,-2200.81,,,3,30
DCE.m.HOT,LONG,202108312110,3508,202109011005,3491,1,-170,400,-690,-2373.53,,,1,36
DCE.y.HOT,LONG,202108312110,9082,202109011010,8964,1,-1180,66.6667,-1626.67,-3555.04,,,1,37
DCE.cs.HOT,SHORT,202108312110,2827,202109011015,2864,1,-370,50,-400,-3927.55,,,1,38
DCE.c.HOT,LONG,202108312150,2473,202109011035,2475,1,20,100,-10,-3907.55,,,9,39
DCE.y.HOT,LONG,202108312110,9082,202109011045,8942,1,-1400,100,-2440,-5309.06,,,1,41
DCE.m.HOT,LONG,202108312140,3508,202109011125,3497,1,-110,20,-290,-5422.78,,,7,49
DCE.cs.HOT,SHORT,202108312110,2827,202109011130,2862,1,-350,66.6667,-533.333,-5774.29,,,1,50
DCE.cs.HOT,SHORT,202108312110,2827,202109011340,2858,1,-310,100,-800,-6085.8,,,1,52
DCE.c.HOT,LONG,202108312205,2477,202109011355,2466,1,-110,60,-120,-6197.31,,,12,55
DCE.m.HOT,LONG,202108312205,3493,202109011400,3494,1,10,70,-140,-6187.31,,,12,56
DCE.m.HOT,LONG,202109010910,3490,202109011405,3493,1,30,100,-110,-6158.52,,,25,57
DCE.m.HOT,LONG,202109010940,3485,202109011415,3496,1,110,150,-10,-6051.54,,,31,59
DCE.y.HOT,LONG,202108312110,9082,202109011415,8954,1,-1280,200,-4880,-7331.54,,,1,59
DCE.m.HOT,LONG,202109011010,3494,202109011425,3492,1,-20,60,-90,-7355.56,,,37,61
DCE.cs.HOT,SHORT,202108312110,2827,202109011425,2854,1,-270,200,-1600,-7625.56,,,1,61
DCE.y.HOT,LONG,202108312125,9050,202109011440,8938,1,-1120,260,-1220,-8748.58,,,4,64
DCE.y.HOT,LONG,202108312240,8964,202109011450,8940,1,-240,280,-400,-8991.09,,,19,66
DCE.c.HOT,LONG,202108312255,2477,202109011450,2466,1,-110,50,-140,-9101.09,,,22,66
DCE.c.HOT,LONG,202109010915,2478,202109012105,2463,1,-150,40,-160,-9256.02,,,26,69
DCE.y.HOT,LONG,202109011015,8954,202109012110,8948,1,-60,360,-340,-9318.53,,,38,70
DCE.cs.HOT,SHORT,202108312235,2845,202109012110,2881,1,-360,70,-490,-9681.25,,,18,70
DCE.c.HOT,LONG,202109010940,2479,202109012115,2468,1,-110,20,-170,-9794.97,,,31,71
DCE.cs.HOT,SHORT,202109011035,2864,202109012120,2876,1,-120,140,-300,-9917.99,,,39,72
DCE.m.HOT,LONG,202109011130,3497,202109012130,3489,1,-80,20,-100,-10002.2,,,50,74
DCE.c.HOT,LONG,202109011045,2472,202109012135,2467,1,-50,50,-100,-10054.9,,,41,75
DCE.y.HOT,LONG,202109011055,8934,202109012140,8908,1,-260,560,-320,-10317.5,,,43,76
DCE.y.HOT,LONG,202109011420,8938,202109012155,8916,1,-220,220,-360,-10543.7,,,60,79
DCE.c.HOT,LONG,202109011400,2467,202109012155,2468,1,10,50,-50,-10534.9,,,56,79
DCE.cs.HOT,SHORT,202109011335,2860,202109012205,2879,1,-190,100,-340,-10730.1,,,51,81
DCE.c.HOT,LONG,202109011455,2465,202109012210,2466,1,10,70,-30,-10721.3,,,67,82
DCE.c.HOT,LONG,202109012110,2470,202109012230,2468,1,-20,0,-50,-10744,,,70,86
DCE.cs.HOT,SHORT,202109011345,2861,202109012230,2884,1,-230,110,-330,-10975.6,,,53,86
DCE.y.HOT,LONG,202109011445,8932,202109012235,8920,1,-120,240,-460,-11098.1,,,65,87
DCE.m.HOT,LONG,202109011410,3493,202109020905,3478,1,-150,40,-190,-11254.8,,,58,93
