code,target,sigprice,gentime,usertag
DCE.c.HOT,5,2480,20210831210500000,
DCE.cs.HOT,-5,2828,20210831210500000,
DCE.m.HOT,5,3507,20210831210500000,
DCE.y.HOT,5,9082,20210831210500000,
DCE.c.HOT,4,2477,20210831211000000,
DCE.c.HOT,5,2479,20210831211500000,
DCE.y.HOT,4,9058,20210831211500000,
DCE.y.HOT,5,9052,20210831212000000,
DCE.m.HOT,4,3514,20210831213000000,
DCE.m.HOT,5,3508,20210831213500000,
DCE.c.HOT,4,2475,20210831214000000,
DCE.c.HOT,5,2474,20210831214500000,
DCE.c.HOT,4,2473,20210831215500000,
DCE.m.HOT,4,3493,20210831215500000,
DCE.c.HOT,5,2476,20210831220000000,
DCE.m.HOT,5,3493,20210831220000000,
DCE.cs.HOT,-4,2845,20210831222500000,
DCE.cs.HOT,-5,2845,20210831223000000,
DCE.y.HOT,4,8966,20210831223000000,
DCE.y.HOT,5,8966,20210831223500000,
DCE.c.HOT,4,2481,20210831224500000,
DCE.c.HOT,5,2476,20210831225000000,
DCE.m.HOT,4,3486,20210831230000000,
DCE.c.HOT,4,2475,20210901090500000,
DCE.m.HOT,5,3492,20210901090500000,
DCE.c.HOT,5,2479,20210901091000000,
DCE.c.HOT,4,2479,20210901093000000,
DCE.m.HOT,4,3486,20210901093000000,
DCE.c.HOT,5,2479,20210901093500000,
DCE.m.HOT,5,3484,20210901093500000,
DCE.m.HOT,4,3491,20210901100000000,
DCE.m.HOT,5,3494,20210901100500000,
DCE.y.HOT,4,8966,20210901100500000,
DCE.cs.HOT,-4,2864,20210901101000000,
DCE.y.HOT,5,8954,20210901101000000,
DCE.c.HOT,4,2476,20210901101500000,
DCE.cs.HOT,-5,2864,20210901101500000,
DCE.c.HOT,5,2472,20210901104000000,
DCE.y.HOT,4,8942,20210901104000000,
DCE.y.HOT,5,8936,20210901105000000,
DCE.m.HOT,4,3497,20210901112000000,
DCE.cs.HOT,-4,2861,20210901112500000,
DCE.m.HOT,5,3498,20210901112500000,
DCE.cs.HOT,-5,2860,20210901113000000,
DCE.cs.HOT,-4,2858,20210901133500000,
DCE.cs.HOT,-5,2860,20210901134000000,
DCE.c.HOT,4,2466,20210901135000000,
DCE.c.HOT,5,2466,20210901135500000,
DCE.m.HOT,4,3493,20210901135500000,
DCE.m.HOT,3,3493,20210901140000000,
DCE.m.HOT,5,3494,20210901140500000,
DCE.m.HOT,4,3496,20210901141000000,
DCE.y.HOT,4,8954,20210901141000000,
DCE.m.HOT,5,3493,20210901141500000,
DCE.y.HOT,5,8942,20210901141500000,
DCE.cs.HOT,-4,2853,20210901142000000,
DCE.m.HOT,4,3492,20210901142000000,
DCE.cs.HOT,-5,2855,20210901142500000,
DCE.m.HOT,5,3491,20210901142500000,
DCE.y.HOT,4,8940,20210901143500000,
DCE.y.HOT,5,8932,20210901144000000,
DCE.c.HOT,4,2466,20210901144500000,
DCE.y.HOT,4,8940,20210901144500000,
DCE.c.HOT,5,2464,20210901145000000,
DCE.y.HOT,5,8940,20210901145000000,
DCE.c.HOT,4,2463,20210901150000000,
DCE.c.HOT,5,2470,20210901210500000,
DCE.cs.HOT,-4,2880,20210901210500000,
DCE.y.HOT,4,8946,20210901210500000,
DCE.c.HOT,4,2467,20210901211000000,
DCE.cs.HOT,-5,2873,20210901211000000,
DCE.y.HOT,5,8944,20210901211000000,
DCE.cs.HOT,-4,2876,20210901211500000,
DCE.c.HOT,5,2467,20210901212000000,
DCE.cs.HOT,-5,2877,20210901212000000,
DCE.m.HOT,4,3490,20210901212500000,
DCE.c.HOT,4,2467,20210901213000000,
DCE.m.HOT,5,3487,20210901213000000,
DCE.c.HOT,5,2467,20210901213500000,
DCE.y.HOT,4,8908,20210901213500000,
DCE.y.HOT,5,8936,20210901214500000,
DCE.c.HOT,4,2468,20210901215000000,
DCE.y.HOT,4,8916,20210901215000000,
DCE.y.HOT,5,8902,20210901215500000,
DCE.c.HOT,5,2466,20210901220000000,
DCE.cs.HOT,-4,2880,20210901220000000,
DCE.c.HOT,4,2467,20210901220500000,
DCE.cs.HOT,-5,2879,20210901220500000,
DCE.c.HOT,5,2468,20210901221500000,
DCE.c.HOT,4,2468,20210901222500000,
DCE.cs.HOT,-4,2883,20210901222500000,
DCE.c.HOT,5,2469,20210901223000000,
DCE.cs.HOT,-5,2882,20210901223000000,
DCE.y.HOT,4,8920,20210901223000000,
DCE.y.HOT,5,8904,20210901224000000,
