code,time,direct,action,price,qty,tag,fee,barno
DCE.m.HOT,202108312110,LONG,OPEN,3508,5,,7.55,1
DCE.y.HOT,202108312110,LONG,OPEN,9082,5,,12.55,1
DCE.c.HOT,202108312110,LONG,OPEN,2479,5,,6.05,1
DCE.cs.HOT,202108312110,SHORT,OPEN,2827,5,,7.55,1
DCE.c.HOT,202108312115,LONG,CLOSE,2477,1,,0,2
DCE.y.HOT,202108312120,LONG,CLOSE,9058,1,,0,3
DCE.c.HOT,202108312120,LONG,OPEN,2479,1,,1.21,3
DCE.y.HOT,202108312125,LONG,OPEN,9050,1,,2.51,4
DCE.m.HOT,202108312135,LONG,CLOSE,3514,1,,0,6
DCE.m.HOT,202108312140,LONG,OPEN,3508,1,,1.51,7
DCE.c.HOT,202108312145,LONG,CLOSE,2475,1,,0,8
DCE.c.HOT,202108312150,LONG,OPEN,2473,1,,1.21,9
DCE.m.HOT,202108312200,LONG,CLOSE,3493,1,,0,11
DCE.c.HOT,202108312200,LONG,CLOSE,2472,1,,0,11
DCE.m.HOT,202108312205,LONG,OPEN,3493,1,,1.51,12
DCE.c.HOT,202108312205,LONG,OPEN,2477,1,,1.21,12
DCE.cs.HOT,202108312230,SHORT,CLOSE,2845,1,,0,17
DCE.y.HOT,202108312235,LONG,CLOSE,8966,1,,0,18
DCE.cs.HOT,202108312235,SHORT,OPEN,2845,1,,1.51,18
DCE.y.HOT,202108312240,LONG,OPEN,8964,1,,2.51,19
DCE.c.HOT,202108312250,LONG,CLOSE,2480,1,,0,21
DCE.c.HOT,202108312255,LONG,OPEN,2477,1,,1.21,22
DCE.m.HOT,202109010905,LONG,CLOSE,3498,1,,0,24
DCE.m.HOT,202109010910,LONG,OPEN,3490,1,,1.51,25
DCE.c.HOT,202109010910,LONG,CLOSE,2475,1,,0,25
DCE.c.HOT,202109010915,LONG,OPEN,2478,1,,1.21,26
DCE.m.HOT,202109010935,LONG,CLOSE,3486,1,,0,30
DCE.c.HOT,202109010935,LONG,CLOSE,2479,1,,0,30
DCE.m.HOT,202109010940,LONG,OPEN,3485,1,,1.51,31
DCE.c.HOT,202109010940,LONG,OPEN,2479,1,,1.21,31
DCE.m.HOT,202109011005,LONG,CLOSE,3491,1,,0,36
DCE.m.HOT,202109011010,LONG,OPEN,3494,1,,1.51,37
DCE.y.HOT,202109011010,LONG,CLOSE,8964,1,,0,37
DCE.y.HOT,202109011015,LONG,OPEN,8954,1,,2.51,38
DCE.cs.HOT,202109011015,SHORT,CLOSE,2864,1,,0,38
DCE.c.HOT,202109011035,LONG,CLOSE,2475,1,,0,39
DCE.cs.HOT,202109011035,SHORT,OPEN,2864,1,,1.51,39
DCE.y.HOT,202109011045,LONG,CLOSE,8942,1,,0,41
DCE.c.HOT,202109011045,LONG,OPEN,2472,1,,1.21,41
DCE.y.HOT,202109011055,LONG,OPEN,8934,1,,2.51,43
DCE.m.HOT,202109011125,LONG,CLOSE,3497,1,,0,49
DCE.m.HOT,202109011130,LONG,OPEN,3497,1,,1.51,50
DCE.cs.HOT,202109011130,SHORT,CLOSE,2862,1,,0,50
DCE.cs.HOT,202109011335,SHORT,OPEN,2860,1,,1.51,51
DCE.cs.HOT,202109011340,SHORT,CLOSE,2858,1,,0,52
DCE.cs.HOT,202109011345,SHORT,OPEN,2861,1,,1.51,53
DCE.c.HOT,202109011355,LONG,CLOSE,2466,1,,0,55
DCE.m.HOT,202109011400,LONG,CLOSE,3494,1,,0,56
DCE.c.HOT,202109011400,LONG,OPEN,2467,1,,1.21,56
DCE.m.HOT,202109011405,LONG,CLOSE,3493,1,,0,57
DCE.m.HOT,202109011410,LONG,OPEN,3493,2,,3.02,58
DCE.m.HOT,202109011415,LONG,CLOSE,3496,1,,0,59
DCE.y.HOT,202109011415,LONG,CLOSE,8954,1,,0,59
DCE.m.HOT,202109011420,LONG,OPEN,3493,1,,1.51,60
DCE.y.HOT,202109011420,LONG,OPEN,8938,1,,2.51,60
DCE.m.HOT,202109011425,LONG,CLOSE,3492,1,,0,61
DCE.cs.HOT,202109011425,SHORT,CLOSE,2854,1,,0,61
DCE.m.HOT,202109011430,LONG,OPEN,3491,1,,1.51,62
DCE.cs.HOT,202109011430,SHORT,OPEN,2856,1,,1.51,62
DCE.y.HOT,202109011440,LONG,CLOSE,8938,1,,0,64
DCE.y.HOT,202109011445,LONG,OPEN,8932,1,,2.51,65
DCE.y.HOT,202109011450,LONG,CLOSE,8940,1,,0,66
DCE.c.HOT,202109011450,LONG,CLOSE,2466,1,,0,66
DCE.y.HOT,202109011455,LONG,OPEN,8940,1,,2.51,67
DCE.c.HOT,202109011455,LONG,OPEN,2465,1,,1.21,67
