code,time,direct,action,price,qty,tag,fee,barno
DCE.m.HOT,202108312110,LONG,OPEN,3508,5,,7.55,1
DCE.y.HOT,202108312110,LONG,OPEN,9082,5,,12.55,1
DCE.c.HOT,202108312110,LONG,OPEN,2479,5,,6.05,1
DCE.cs.HOT,202108312110,SHORT,OPEN,2827,5,,7.55,1
DCE.m.HOT,202108312115,LONG,CLOSE,3511,1,,0,2
DCE.m.HOT,202108312120,LONG,OPEN,3508,1,,1.51,3
DCE.c.HOT,202108312125,LONG,CLOSE,2476,1,,0,4
DCE.cs.HOT,202108312125,SHORT,CLOSE,2834,1,,0,4
DCE.y.HOT,202108312130,LONG,CLOSE,9066,1,,0,5
DCE.c.HOT,202108312130,LONG,OPEN,2474,1,,1.21,5
DCE.cs.HOT,202108312130,SHORT,OPEN,2832,1,,1.51,5
DCE.y.HOT,202108312135,LONG,OPEN,9064,1,,2.51,6
DCE.c.HOT,202108312140,LONG,CLOSE,2476,1,,0,7
DCE.m.HOT,202108312145,LONG,CLOSE,3502,1,,0,8
DCE.c.HOT,202108312145,LONG,OPEN,2475,1,,1.21,8
DCE.m.HOT,202108312150,LONG,OPEN,3496,1,,1.51,9
DCE.m.HOT,202108312205,LONG,CLOSE,3493,1,,0,12
DCE.y.HOT,202108312205,LONG,CLOSE,8996,1,,0,12
DCE.m.HOT,202108312210,LONG,OPEN,3488,1,,1.51,13
DCE.y.HOT,202108312215,LONG,OPEN,9002,1,,2.51,14
DCE.c.HOT,202108312235,LONG,CLOSE,2478,2,,0,18
DCE.c.HOT,202108312240,LONG,OPEN,2480,2,,2.42,19
DCE.cs.HOT,202108312300,SHORT,CLOSE,2844,1,,0,23
DCE.cs.HOT,202109010910,SHORT,OPEN,2850,1,,1.51,25
DCE.c.HOT,202109010930,LONG,CLOSE,2479,1,,0,29
DCE.c.HOT,202109010935,LONG,OPEN,2479,1,,1.21,30
DCE.c.HOT,202109010950,LONG,CLOSE,2479,1,,0,33
DCE.c.HOT,202109010955,LONG,OPEN,2478,1,,1.21,34
DCE.y.HOT,202109011000,LONG,CLOSE,8966,1,,0,35
DCE.y.HOT,202109011005,LONG,OPEN,8962,1,,2.51,36
DCE.c.HOT,202109011050,LONG,CLOSE,2473,1,,0,42
DCE.m.HOT,202109011055,LONG,CLOSE,3488,1,,0,43
DCE.y.HOT,202109011055,LONG,CLOSE,8934,1,,0,43
DCE.m.HOT,202109011100,LONG,OPEN,3489,1,,1.51,44
DCE.y.HOT,202109011100,LONG,OPEN,8950,1,,2.51,44
DCE.c.HOT,202109011100,LONG,OPEN,2474,1,,1.21,44
DCE.y.HOT,202109011110,LONG,CLOSE,8986,1,,0,46
DCE.y.HOT,202109011115,LONG,OPEN,8956,1,,2.51,47
DCE.m.HOT,202109011130,LONG,CLOSE,3497,1,,0,50
DCE.m.HOT,202109011335,LONG,OPEN,3496,1,,1.51,51
DCE.cs.HOT,202109011335,SHORT,CLOSE,2860,1,,0,51
DCE.cs.HOT,202109011340,SHORT,OPEN,2858,1,,1.51,52
DCE.y.HOT,202109011355,LONG,CLOSE,8982,1,,0,55
DCE.y.HOT,202109011400,LONG,OPEN,8966,1,,2.51,56
DCE.m.HOT,202109011405,LONG,CLOSE,3493,1,,0,57
DCE.m.HOT,202109011410,LONG,OPEN,3493,1,,1.51,58
DCE.y.HOT,202109011410,LONG,CLOSE,8956,1,,0,58
DCE.y.HOT,202109011415,LONG,OPEN,8954,1,,2.51,59
DCE.m.HOT,202109011430,LONG,CLOSE,3491,1,,0,62
DCE.cs.HOT,202109011430,SHORT,CLOSE,2856,1,,0,62
DCE.m.HOT,202109011435,LONG,OPEN,3494,1,,1.51,63
DCE.cs.HOT,202109011435,SHORT,OPEN,2856,1,,1.51,63
DCE.m.HOT,202109011445,LONG,CLOSE,3491,1,,0,65
DCE.y.HOT,202109011445,LONG,CLOSE,8932,1,,0,65
DCE.cs.HOT,202109011445,SHORT,CLOSE,2856,1,,0,65
DCE.m.HOT,202109011450,LONG,OPEN,3493,1,,1.51,66
DCE.y.HOT,202109011450,LONG,OPEN,8940,1,,2.51,66
DCE.c.HOT,202109011450,LONG,CLOSE,2466,1,,0,66
DCE.cs.HOT,202109011450,SHORT,OPEN,2853,1,,1.51,66
DCE.c.HOT,202109011455,LONG,OPEN,2465,1,,1.21,67
DCE.y.HOT,202109011500,LONG,CLOSE,8950,1,,0,68
DCE.y.HOT,202109012105,LONG,OPEN,8922,1,,2.51,69
DCE.m.HOT,202109012110,LONG,CLOSE,3492,1,,1.51,70
DCE.m.HOT,202109012115,LONG,OPEN,3492,1,,1.51,71
DCE.m.HOT,202109012130,LONG,CLOSE,3489,1,,1.51,74
