date,closeprofit,positionprofit,dynbalance,fee
20210901,-8200.00,-2030.00,-10313.09,83.09
20210902,-10650.00,-1810.00,-12642.38,182.38
20210903,-5690.00,4560.00,-1406.35,276.35
20210906,-2850.00,2530.00,-689.99,369.99
20210907,1870.00,1420.00,2823.35,466.65
20210908,3220.00,-500.00,2150.46,569.54
20210909,-1500.00,2180.00,24.77,655.23
20210910,-780.00,-7210.00,-8735.29,745.29
20210913,-1970.00,-1830.00,-4650.02,850.02
20210914,-4270.00,820.00,-4397.70,947.70
20210915,-6470.00,5150.00,-2353.02,1033.02
20210916,2510.00,-630.00,751.39,1128.61
20210917,-5640.00,-5050.00,-11897.89,1207.89
20210922,-11440.00,1030.00,-11689.92,1279.92
20210923,-4240.00,7220.00,1613.76,1366.24
20210924,2840.00,-250.00,1134.23,1455.77
20210927,20.00,-3770.00,-5303.55,1553.55
20210928,-8870.00,5450.00,-5080.79,1660.79
20210929,-9000.00,1650.00,-9116.52,1766.52
20210930,-2130.00,5960.00,1997.66,1832.34
20211008,19770.00,-1520.00,16344.84,1905.16
20211011,21100.00,-2190.00,16908.36,2001.64
20211012,13280.00,-130.00,11040.71,2109.29
20211013,12750.00,-730.00,9811.93,2208.07
20211014,7930.00,-490.00,5126.81,2313.19
20211015,11140.00,1260.00,9985.22,2414.78
20211018,15970.00,1520.00,14967.38,2522.62
20211019,18460.00,-630.00,15193.92,2636.08
20211020,20660.00,6660.00,24593.79,2726.21
20211021,35370.00,-7930.00,24611.88,2828.12
20211022,12030.00,-750.00,8362.56,2917.44
20211025,15150.00,-820.00,11306.23,3023.77
20211026,22820.00,-860.00,18824.19,3135.81
20211027,19430.00,-2720.00,13476.48,3233.52
20211028,13290.00,1620.00,11577.01,3332.99
