code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
DCE.c.HOT,LONG,202109160945,2449,202109162150,2445,1,-40,10,-130,1145.1,,,791,837
DCE.y.HOT,LONG,202109160950,9118,202109162200,9068,1,-500,820,-520,642.59,,,792,839
DCE.c.HOT,LONG,202109161125,2444,202109162210,2443,1,-10,40,-80,627.66,,,808,841
DCE.m.HOT,LONG,202109161125,3527,202109162230,3570,1,430,640,-40,1054.94,,,808,845
DCE.cs.HOT,SHORT,202109161435,2812,202109162235,2826,1,-140,40,-260,911.92,,,822,846
DCE.m.HOT,LONG,202109161355,3533,202109162240,3571,1,380,580,-30,1290.41,,,814,847
DCE.c.HOT,LONG,202109161335,2444,202109162300,2443,1,-10,40,-80,1276.18,,,810,851
DCE.m.HOT,LONG,202109161410,3534,202109170920,3576,1,420,570,-30,1693.46,,,817,855
DCE.c.HOT,LONG,202109161430,2441,202109170930,2438,1,-30,70,-50,1660.74,,,821,857
DCE.y.HOT,LONG,202109161000,9188,202109170940,9076,1,-1120,120,-1600,537.02,,,794,859
DCE.c.HOT,LONG,202109161455,2439,202109170950,2438,1,-10,90,-30,523.3,,,826,861
DCE.c.HOT,LONG,202109162200,2445,202109171040,2440,1,-50,0,-110,472.09,,,839,868
DCE.m.HOT,LONG,202109161450,3539,202109171100,3564,1,250,520,-20,719.37,,,825,872
DCE.y.HOT,LONG,202109161400,9088,202109171105,8874,1,-2140,420,-2200,-1423.14,,,815,873
DCE.m.HOT,LONG,202109162105,3549,202109171115,3561,1,120,420,0,-1307.16,,,828,875
DCE.y.HOT,LONG,202109162105,9094,202109171115,8858,1,-2360,340,-2420,-3667.16,,,828,875
DCE.m.HOT,LONG,202109162235,3573,202109171335,3562,1,-110,140,-200,-3781.18,,,846,879
DCE.m.HOT,LONG,202109162245,3569,202109171345,3566,1,-30,180,-160,-3812.69,,,848,881
DCE.c.HOT,LONG,202109162215,2443,202109171345,2444,1,10,20,-90,-3802.69,,,842,881
DCE.y.HOT,LONG,202109162120,9096,202109171350,8866,1,-2300,200,-2660,-6104.2,,,831,882
DCE.cs.HOT,SHORT,202109161445,2809,202109171350,2847,1,-380,10,-420,-6486.92,,,824,882
DCE.c.HOT,LONG,202109170905,2443,202109171420,2443,1,0,20,-90,-6490.94,,,852,888
DCE.m.HOT,LONG,202109170930,3568,202109171425,3570,1,20,50,-150,-6470.94,,,857,889
DCE.c.HOT,LONG,202109170935,2438,202109171435,2438,1,0,70,-40,-6473.66,,,858,891
DCE.cs.HOT,SHORT,202109161455,2811,202109171435,2848,1,-370,10,-400,-6845.17,,,826,891
DCE.c.HOT,LONG,202109170955,2438,202109220925,2439,1,10,70,-80,-6839.1,,,862,901
DCE.cs.HOT,SHORT,202109162130,2830,202109220925,2875,1,-450,150,-490,-7290.61,,,833,901
DCE.cs.HOT,SHORT,202109162145,2829,202109220935,2868,1,-390,140,-500,-7684.84,,,836,903
DCE.y.HOT,LONG,202109162205,9076,202109220955,8828,1,-2480,180,-2900,-10168.9,,,840,907
DCE.c.HOT,LONG,202109171045,2441,202109220955,2459,1,180,220,-110,-9990.07,,,869,907
DCE.m.HOT,LONG,202109171110,3558,202109221005,3535,1,-230,170,-260,-10221.6,,,874,909
DCE.m.HOT,LONG,202109171120,3559,202109221015,3539,1,-200,160,-270,-10428.3,,,876,911
DCE.y.HOT,LONG,202109170945,9080,202109221015,8806,1,-2740,120,-2940,-13170.8,,,860,911
DCE.cs.HOT,SHORT,202109162240,2823,202109221045,2894,1,-710,80,-840,-13886.4,,,847,914
DCE.y.HOT,LONG,202109171110,8864,202109221050,8880,1,160,460,-780,-13728.9,,,874,915
DCE.y.HOT,LONG,202109171120,8852,202109221100,8874,1,220,580,-660,-13515.4,,,876,917
DCE.c.HOT,LONG,202109171350,2443,202109221100,2463,1,200,220,-130,-13316.6,,,882,917
DCE.c.HOT,LONG,202109171425,2441,202109221110,2463,1,220,240,-110,-13101.5,,,889,919
DCE.m.HOT,LONG,202109171340,3567,202109221115,3545,1,-220,80,-350,-13323,,,880,920
DCE.cs.HOT,SHORT,202109171355,2843,202109221120,2899,1,-560,40,-640,-13887.3,,,883,921
DCE.cs.HOT,SHORT,202109171440,2851,202109221355,2892,1,-410,10,-560,-14300.3,,,892,928
DCE.y.HOT,LONG,202109171355,8866,202109221400,8918,1,520,600,-800,-13782.8,,,883,929
DCE.cs.HOT,SHORT,202109220930,2874,202109221405,2893,1,-190,90,-330,-13975.3,,,902,930
DCE.m.HOT,LONG,202109171350,3562,202109221425,3533,1,-290,130,-300,-14269.8,,,882,934
DCE.c.HOT,LONG,202109171440,2441,202109221425,2462,1,210,250,-110,-14061.1,,,892,934
DCE.c.HOT,LONG,202109220930,2442,202109221425,2462,1,200,240,-20,-13861.1,,,902,934
DCE.c.HOT,LONG,202109221005,2460,202109221435,2461,1,10,60,-30,-13855,,,909,936
DCE.y.HOT,LONG,202109221010,8802,202109221450,8918,1,1160,1500,-20,-12696.2,,,910,939
DCE.c.HOT,LONG,202109221105,2463,202109221450,2461,1,-20,30,-60,-12716.2,,,918,939
DCE.c.HOT,LONG,202109221115,2465,202109222110,2461,1,-40,10,-80,-12761.1,,,920,943
DCE.m.HOT,LONG,202109171430,3573,202109222115,3548,1,-250,20,-430,-13012.6,,,890,944
DCE.cs.HOT,SHORT,202109220940,2869,202109222115,2879,1,-100,0,-380,-13115.4,,,904,944
DCE.m.HOT,LONG,202109221010,3539,202109222130,3550,1,110,140,-90,-13009.9,,,910,947
DCE.y.HOT,LONG,202109221035,8824,202109222150,9004,1,1800,1880,-80,-11213.9,,,912,951
DCE.cs.HOT,SHORT,202109221050,2895,202109222155,2876,1,190,220,-100,-11027.9,,,915,952
DCE.m.HOT,LONG,202109221040,3546,202109222215,3546,1,0,100,-160,-11030.9,,,913,956
DCE.c.HOT,LONG,202109221430,2461,202109222215,2459,1,-20,50,-40,-11052.2,,,935,956
DCE.m.HOT,LONG,202109221120,3542,202109222230,3551,1,90,140,-120,-10966.4,,,921,959
DCE.c.HOT,LONG,202109221430,2461,202109222240,2463,1,20,100,-80,-10949.1,,,935,961
DCE.c.HOT,LONG,202109221440,2462,202109222240,2463,1,10,40,-50,-10940.3,,,937,961
DCE.y.HOT,LONG,202109221055,8878,202109230940,8980,1,1020,1340,-60,-9925.25,,,916,973
DCE.c.HOT,LONG,202109221455,2461,202109230945,2475,1,140,190,-40,-9788.97,,,940,974
DCE.y.HOT,LONG,202109221105,8880,202109230950,8984,1,1040,1320,-80,-8751.48,,,918,975
DCE.cs.HOT,SHORT,202109221125,2897,202109230950,2886,1,110,240,-80,-8644.2,,,922,975
DCE.cs.HOT,SHORT,202109221410,2891,202109231000,2885,1,60,180,-90,-8589.73,,,931,977
DCE.y.HOT,LONG,202109221405,8930,202109231015,8938,1,80,820,-220,-8513.75,,,930,980
DCE.m.HOT,LONG,202109221430,3533,202109231040,3543,1,100,290,-30,-8415.26,,,935,982
DCE.c.HOT,LONG,202109222115,2460,202109231045,2473,1,130,200,-20,-8289.28,,,944,983
DCE.m.HOT,LONG,202109222125,3552,202109231100,3540,1,-120,100,-170,-8410.49,,,946,986
DCE.y.HOT,LONG,202109221455,8940,202109231105,8964,1,240,720,-240,-8174.51,,,940,987
DCE.cs.HOT,SHORT,202109221410,2891,202109231120,2898,1,-70,360,-180,-8248.53,,,931,990
DCE.c.HOT,LONG,202109222225,2461,202109231345,2474,1,130,190,0,-8120.04,,,958,995
DCE.m.HOT,LONG,202109222135,3550,202109231350,3547,1,-30,120,-150,-8150.04,,,948,996
DCE.y.HOT,LONG,202109222155,8986,202109231350,9110,1,1240,1440,-700,-6910.04,,,952,996
DCE.y.HOT,LONG,202109230945,8970,202109231400,9120,1,1500,1680,-420,-5415.27,,,974,998
DCE.cs.HOT,SHORT,202109222120,2878,202109231400,2891,1,-130,40,-210,-5545.27,,,945,998
DCE.cs.HOT,SHORT,202109222200,2878,202109231410,2893,1,-150,10,-210,-5699.29,,,953,1000
DCE.c.HOT,LONG,202109222245,2464,202109231420,2476,1,120,160,-10,-5580.8,,,962,1002
DCE.cs.HOT,SHORT,202109230955,2884,202109231420,2894,1,-100,20,-150,-5680.8,,,976,1002
DCE.m.HOT,LONG,202109222220,3548,202109231430,3542,1,-60,140,-130,-5743.52,,,957,1004
DCE.c.HOT,LONG,202109222245,2464,202109231435,2479,1,150,320,-20,-5595.03,,,962,1005
DCE.cs.HOT,SHORT,202109231010,2885,202109231500,2886,1,-10,20,-140,-5606.24,,,979,1010
DCE.c.HOT,LONG,202109230950,2476,202109232105,2478,1,20,90,-60,-5587.45,,,975,1011
DCE.y.HOT,LONG,202109230955,8964,202109232120,9156,1,1920,2260,-360,-3672.68,,,976,1014
DCE.cs.HOT,SHORT,202109231130,2898,202109232130,2919,1,-210,150,-300,-3886.7,,,992,1016
DCE.y.HOT,LONG,202109231040,8958,202109232140,9132,1,1740,2320,-300,-2150.72,,,982,1018
DCE.m.HOT,LONG,202109222235,3552,202109232155,3529,1,-230,100,-270,-2384.74,,,960,1021
DCE.y.HOT,LONG,202109231110,8964,202109232200,9150,1,1860,2260,-140,-528.76,,,988,1022
DCE.c.HOT,LONG,202109231050,2473,202109232205,2484,1,110,170,-30,-419.97,,,984,1023
DCE.c.HOT,LONG,202109231355,2473,202109232220,2485,1,120,170,-10,-304.9,,,997,1026
DCE.m.HOT,LONG,202109231045,3541,202109232225,3524,1,-170,90,-180,-476.41,,,983,1027
DCE.y.HOT,LONG,202109231355,9124,202109232235,9130,1,60,660,-200,-421.64,,,997,1029
DCE.c.HOT,LONG,202109231425,2477,202109232240,2485,1,80,130,-10,-345.36,,,1003,1030
DCE.y.HOT,LONG,202109231410,9134,202109232245,9136,1,20,560,-300,-327.87,,,1000,1031
DCE.cs.HOT,SHORT,202109231405,2891,202109232245,2918,1,-270,80,-370,-600.59,,,999,1031
DCE.m.HOT,LONG,202109231105,3541,202109232250,3520,1,-210,90,-270,-812.1,,,987,1032
DCE.cs.HOT,SHORT,202109231415,2894,202109240905,2918,1,-240,110,-340,-1059.14,,,1001,1035
DCE.cs.HOT,SHORT,202109231425,2892,202109240920,2906,1,-140,90,-360,-1202.16,,,1003,1038
DCE.cs.HOT,SHORT,202109232105,2896,202109240955,2913,1,-170,0,-320,-1373.67,,,1011,1045
DCE.m.HOT,LONG,202109231355,3546,202109241010,3529,1,-170,10,-320,-1546.69,,,997,1048
DCE.m.HOT,LONG,202109231435,3539,202109241040,3543,1,40,70,-250,-1509.71,,,1005,1051
DCE.c.HOT,LONG,202109231440,2482,202109241045,2488,1,60,80,-60,-1452.43,,,1006,1052
DCE.c.HOT,LONG,202109232110,2479,202109241055,2488,1,90,110,-30,-1363.64,,,1012,1054
DCE.m.HOT,LONG,202109232200,3534,202109241105,3539,1,50,120,-200,-1314.85,,,1022,1056
DCE.y.HOT,LONG,202109232125,9144,202109241105,9166,1,220,380,-540,-1094.85,,,1015,1056
DCE.cs.HOT,SHORT,202109232135,2918,202109241120,2914,1,40,140,-40,-1058.87,,,1017,1059
DCE.m.HOT,LONG,202109232230,3524,202109241345,3528,1,40,220,-100,-1020.38,,,1028,1064
DCE.y.HOT,LONG,202109232145,9128,202109241345,9198,1,700,960,-380,-320.38,,,1019,1064
DCE.c.HOT,LONG,202109232210,2484,202109241345,2486,1,20,60,-10,-300.38,,,1024,1064
DCE.c.HOT,LONG,202109232225,2486,202109241415,2488,1,20,40,-30,-285.61,,,1027,1070
DCE.cs.HOT,SHORT,202109232250,2920,202109241425,2920,1,-0,160,0,-286.82,,,1032,1072
DCE.y.HOT,LONG,202109232210,9128,202109241435,9212,1,840,960,-380,551.67,,,1024,1074
DCE.c.HOT,LONG,202109232245,2486,202109241445,2486,1,0,40,-30,549.16,,,1031,1076
DCE.y.HOT,LONG,202109232240,9132,202109241455,9224,1,920,1020,-420,1467.95,,,1030,1078
DCE.c.HOT,LONG,202109241050,2487,202109241455,2485,1,-20,30,-40,1447.95,,,1053,1078
DCE.m.HOT,LONG,202109232255,3519,202109241500,3513,1,-60,270,-110,1387.95,,,1033,1079
DCE.y.HOT,LONG,202109232250,9144,202109242105,9210,1,660,900,-540,2040.21,,,1032,1080
DCE.c.HOT,LONG,202109241100,2488,202109242125,2478,1,-100,20,-110,1936.49,,,1055,1084
DCE.m.HOT,LONG,202109241015,3533,202109242130,3507,1,-260,130,-280,1674.98,,,1049,1085
DCE.c.HOT,LONG,202109241350,2486,202109242145,2471,1,-150,40,-160,1521.05,,,1065,1088
DCE.c.HOT,LONG,202109241420,2488,202109242155,2471,1,-170,20,-180,1348.63,,,1071,1090
DCE.m.HOT,LONG,202109241045,3540,202109242200,3501,1,-390,60,-400,957.12,,,1052,1091
DCE.c.HOT,LONG,202109241450,2486,202109242215,2472,1,-140,20,-180,813.19,,,1077,1094
DCE.cs.HOT,SHORT,202109240915,2911,202109242215,2901,1,100,160,-130,911.68,,,1037,1094
DCE.c.HOT,LONG,202109241500,2485,202109242245,2472,1,-130,30,-170,777.75,,,1079,1100
DCE.m.HOT,LONG,202109241110,3532,202109270905,3501,1,-310,20,-450,465.03,,,1057,1104
DCE.c.HOT,LONG,202109242130,2476,202109270920,2478,1,20,30,-110,483.52,,,1085,1107
DCE.cs.HOT,SHORT,202109240925,2907,202109270930,2926,1,-190,120,-420,290.8,,,1039,1109
DCE.cs.HOT,SHORT,202109241005,2912,202109270940,2921,1,-90,170,-370,197.78,,,1047,1111
DCE.c.HOT,LONG,202109242150,2471,202109270945,2482,1,110,200,-60,307.78,,,1089,1112
DCE.y.HOT,LONG,202109241110,9218,202109271000,9162,1,-560,360,-660,-257.45,,,1057,1115
DCE.c.HOT,LONG,202109242200,2469,202109271000,2480,1,110,220,-40,-147.45,,,1091,1115
DCE.cs.HOT,SHORT,202109241130,2912,202109271000,2923,1,-110,170,-370,-258.96,,,1061,1115
DCE.m.HOT,LONG,202109241400,3522,202109271010,3531,1,90,90,-350,-173.19,,,1067,1117
DCE.c.HOT,LONG,202109242230,2472,202109271015,2481,1,90,190,-70,-87.21,,,1097,1118
DCE.m.HOT,LONG,202109242105,3510,202109271040,3534,1,240,280,-230,151.58,,,1080,1120
DCE.c.HOT,LONG,202109242250,2471,202109271045,2486,1,150,200,-60,300.07,,,1101,1121
DCE.y.HOT,LONG,202109241350,9204,202109271100,9204,1,0,500,-520,296.35,,,1065,1124
DCE.c.HOT,LONG,202109270925,2485,202109271105,2483,1,-20,60,-80,273.84,,,1108,1125
