code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
DCE.m.HOT,LONG,202108312110,3508,202108312115,3511,1,30,40,-10,-1.28,,,1,2
DCE.y.HOT,LONG,202108312110,9082,202108312120,9058,1,-240,40,-320,-243.7,,,1,3
DCE.c.HOT,LONG,202108312110,2479,202108312130,2474,1,-50,10,-50,-297.72,,,1,5
DCE.y.HOT,LONG,202108312110,9082,202108312135,9064,1,-180,50,-400,-477.72,,,1,6
DCE.y.HOT,LONG,202108312110,9082,202108312145,9058,1,-240,66.6667,-533.333,-721.44,,,1,8
DCE.c.HOT,LONG,202108312110,2479,202108312150,2473,1,-60,15,-75,-783.95,,,1,9
DCE.cs.HOT,SHORT,202108312110,2827,202108312155,2829,1,-20,40,-90,-805.16,,,1,10
DCE.y.HOT,LONG,202108312110,9082,202108312200,9016,1,-660,100,-800,-1465.16,,,1,11
DCE.cs.HOT,SHORT,202108312110,2827,202108312205,2834,1,-70,50,-112.5,-1539.18,,,1,12
DCE.y.HOT,LONG,202108312110,9082,202108312210,8990,1,-920,200,-1600,-2459.18,,,1,13
DCE.m.HOT,LONG,202108312110,3508,202108312215,3493,1,-150,80,-210,-2610.69,,,1,14
DCE.y.HOT,LONG,202108312125,9050,202108312220,8990,1,-600,260,-740,-3214.71,,,4,15
DCE.m.HOT,LONG,202108312110,3508,202108312245,3487,1,-210,106.667,-280,-3427.22,,,1,20
DCE.c.HOT,LONG,202108312110,2479,202109010920,2478,1,-10,40,-150,-3438.73,,,1,27
DCE.m.HOT,LONG,202108312110,3508,202109010930,3488,1,-200,160,-420,-3639.94,,,1,29
DCE.y.HOT,LONG,202108312140,9068,202109010935,8958,1,-1100,80,-1260,-4741.45,,,7,30
DCE.c.HOT,LONG,202108312115,2477,202109010935,2479,1,20,60,-50,-4721.45,,,2,30
DCE.cs.HOT,SHORT,202108312110,2827,202109010950,2859,1,-320,66.6667,-400,-5045.17,,,1,33
DCE.cs.HOT,SHORT,202108312110,2827,202109011005,2864,1,-370,100,-600,-5416.68,,,1,36
DCE.y.HOT,LONG,202108312150,9034,202109011015,8954,1,-800,80,-920,-6218.19,,,9,38
DCE.cs.HOT,SHORT,202108312110,2827,202109011015,2864,1,-370,200,-1200,-6588.19,,,1,38
DCE.c.HOT,LONG,202108312115,2477,202109011040,2471,1,-60,120,-100,-6652.21,,,2,40
DCE.y.HOT,LONG,202108312205,8996,202109011045,8942,1,-540,80,-680,-7192.21,,,12,41
DCE.cs.HOT,SHORT,202108312200,2830,202109011100,2861,1,-310,10,-370,-7505.93,,,11,44
DCE.m.HOT,LONG,202108312110,3508,202109011110,3496,1,-120,320,-840,-7627.44,,,1,46
DCE.y.HOT,LONG,202108312215,9002,202109011110,8986,1,-160,0,-740,-7787.44,,,14,46
DCE.c.HOT,LONG,202108312135,2475,202109011115,2475,1,0,80,-40,-7788.95,,,6,47
DCE.c.HOT,LONG,202108312155,2473,202109011125,2476,1,30,100,-20,-7762.67,,,10,49
DCE.m.HOT,LONG,202108312125,3511,202109011130,3497,1,-140,50,-320,-7902.67,,,4,50
DCE.m.HOT,LONG,202108312220,3490,202109011340,3493,1,30,100,-110,-7875.39,,,15,52
DCE.y.HOT,LONG,202108312225,8984,202109011340,8974,1,-100,80,-560,-7975.39,,,16,52
DCE.m.HOT,LONG,202108312250,3491,202109011405,3493,1,20,90,-120,-7959.41,,,21,57
DCE.c.HOT,LONG,202109010925,2481,202109011410,2466,1,-150,10,-180,-8110.92,,,28,58
DCE.m.HOT,LONG,202109010935,3486,202109011420,3493,1,70,140,-20,-8042.13,,,30,60
DCE.c.HOT,LONG,202109010940,2479,202109011440,2468,1,-110,20,-160,-8153.64,,,31,64
DCE.cs.HOT,SHORT,202108312210,2840,202109012105,2875,1,-350,20,-270,-8506.36,,,13,69
DCE.m.HOT,LONG,202109011115,3494,202109012110,3492,1,-20,60,-70,-8527.87,,,47,70
DCE.c.HOT,LONG,202109011045,2472,202109012110,2470,1,-20,50,-100,-8549.08,,,41,70
DCE.c.HOT,LONG,202109011120,2476,202109012130,2468,1,-80,10,-140,-8634.52,,,48,74
DCE.cs.HOT,SHORT,202109011000,2863,202109012135,2877,1,-140,130,-310,-8776.03,,,35,75
DCE.m.HOT,LONG,202109011335,3496,202109012140,3485,1,-110,30,-150,-8887.54,,,51,76
DCE.y.HOT,LONG,202109010940,8962,202109012140,8908,1,-540,280,-600,-9430.05,,,31,76
DCE.cs.HOT,SHORT,202109011010,2864,202109012145,2883,1,-190,140,-300,-9624.28,,,37,77
DCE.cs.HOT,SHORT,202109011035,2864,202109012200,2879,1,-150,140,-300,-9781.32,,,39,80
DCE.m.HOT,LONG,202109011345,3495,202109012215,3482,1,-130,40,-190,-9914.34,,,53,83
DCE.y.HOT,LONG,202109011035,8940,202109012215,8910,1,-300,500,-540,-10216.9,,,39,83
DCE.cs.HOT,SHORT,202109011105,2859,202109012230,2884,1,-250,90,-350,-10472.4,,,45,86
DCE.cs.HOT,SHORT,202109012120,2876,202109012240,2882,1,-60,10,-80,-10533.9,,,72,88
DCE.y.HOT,LONG,202109011050,8936,202109020905,8884,1,-520,540,-560,-11057.9,,,42,93
DCE.cs.HOT,SHORT,202109012140,2879,202109020905,2881,1,-20,10,-60,-11077.9,,,76,93
DCE.y.HOT,LONG,202109011120,8962,202109020910,8860,1,-1020,280,-1040,-12100.4,,,48,94
DCE.m.HOT,LONG,202109011410,3493,202109020920,3470,1,-230,40,-240,-12338.5,,,58,96
DCE.m.HOT,LONG,202109011425,3492,202109020930,3464,1,-280,50,-320,-12621.5,,,61,98
DCE.c.HOT,LONG,202109011130,2476,202109020935,2461,1,-150,10,-190,-12772.7,,,50,99
DCE.cs.HOT,SHORT,202109012150,2880,202109020950,2868,1,120,150,-50,-12655.4,,,78,102
DCE.c.HOT,LONG,202109011415,2466,202109021005,2463,1,-30,60,-90,-12688.1,,,59,105
DCE.cs.HOT,SHORT,202109012205,2879,202109021015,2880,1,-10,140,-60,-12699.3,,,81,107
DCE.y.HOT,LONG,202109011345,8968,202109021035,8912,1,-560,220,-1180,-13261.9,,,53,108
DCE.cs.HOT,SHORT,202109012235,2883,202109021045,2880,1,30,180,-20,-13235.9,,,87,110
DCE.cs.HOT,SHORT,202109012250,2884,202109021100,2877,1,70,190,-10,-13167.4,,,90,113
DCE.m.HOT,LONG,202109012115,3492,202109021110,3483,1,-90,40,-320,-13258.9,,,71,115
DCE.c.HOT,LONG,202109011445,2467,202109021110,2467,1,0,50,-100,-13260.1,,,65,115
DCE.cs.HOT,SHORT,202109020910,2875,202109021115,2880,1,-50,100,-70,-13312.8,,,94,116
DCE.cs.HOT,SHORT,202109020955,2869,202109021125,2887,1,-180,0,-210,-13494.3,,,103,118
DCE.m.HOT,LONG,202109012150,3482,202109021340,3483,1,10,140,-220,-13485.8,,,78,121
DCE.y.HOT,LONG,202109012150,8936,202109021340,8938,1,20,200,-860,-13465.8,,,78,121
DCE.cs.HOT,SHORT,202109021035,2880,202109021345,2894,1,-140,50,-140,-13607.4,,,108,122
DCE.cs.HOT,SHORT,202109021050,2878,202109021400,2895,1,-170,30,-180,-13781.4,,,111,125
DCE.y.HOT,LONG,202109012220,8902,202109021405,8944,1,420,540,-520,-13361.4,,,84,126
DCE.y.HOT,LONG,202109020915,8874,202109021425,8956,1,820,860,-240,-12545.4,,,95,130
DCE.m.HOT,LONG,202109012225,3487,202109021435,3518,1,310,310,-270,-12237.9,,,85,132
DCE.cs.HOT,SHORT,202109021105,2880,202109021445,2908,1,-280,20,-390,-12519.4,,,114,134
DCE.m.HOT,LONG,202109020925,3468,202109021455,3504,1,360,520,-80,-12160.9,,,97,136
DCE.cs.HOT,SHORT,202109021120,2885,202109021500,2907,1,-220,10,-340,-12380.9,,,117,137
DCE.cs.HOT,SHORT,202109021130,2888,202109022110,2899,1,-110,10,-310,-12495.5,,,119,139
DCE.m.HOT,LONG,202109020950,3468,202109022120,3504,1,360,520,-30,-12138.5,,,102,141
DCE.cs.HOT,SHORT,202109021350,2893,202109022135,2895,1,-20,10,-260,-12161.5,,,123,144
DCE.m.HOT,LONG,202109021115,3484,202109022140,3509,1,250,360,-10,-11913,,,116,145
DCE.cs.HOT,SHORT,202109021405,2894,202109022145,2905,1,-110,0,-250,-12026,,,126,146
DCE.y.HOT,LONG,202109020915,8874,202109022220,8956,1,820,1720,-480,-11211.5,,,95,153
DCE.cs.HOT,SHORT,202109021450,2909,202109022220,2899,1,100,150,-20,-11113.1,,,135,153
DCE.y.HOT,LONG,202109021040,8908,202109022225,8966,1,580,900,-60,-10535.6,,,109,154
DCE.c.HOT,LONG,202109012115,2468,202109022240,2494,1,260,420,-110,-10283.3,,,71,157
DCE.m.HOT,LONG,202109021345,3489,202109022245,3501,1,120,310,-40,-10164.8,,,122,158
DCE.c.HOT,LONG,202109012140,2468,202109022250,2494,1,260,420,-110,-9908.75,,,76,159
DCE.y.HOT,LONG,202109021350,8932,202109022255,8944,1,120,660,-220,-9791.26,,,123,160
DCE.m.HOT,LONG,202109021440,3513,202109022300,3505,1,-80,20,-160,-9873.98,,,133,161
