date,closeprofit,positionprofit,dynbalance,fee
20210901,-8060.00,-1600.00,-9754.85,94.85
20210902,-12190.00,1010.00,-11370.92,190.92
20210903,-990.00,-430.00,-1709.69,289.69
20210906,-1740.00,870.00,-1265.32,395.32
20210907,1520.00,1410.00,2431.67,498.33
20210908,1730.00,240.00,1370.36,599.64
20210909,-1810.00,1170.00,-1320.43,680.43
20210910,-8230.00,-760.00,-9759.73,769.73
20210913,-3360.00,-1170.00,-5386.24,856.24
20210914,-3870.00,-170.00,-5013.93,973.93
20210915,-3550.00,1700.00,-2918.47,1068.47
20210916,20.00,1040.00,-92.49,1152.49
20210917,-9350.00,-2290.00,-12897.91,1257.91
20210922,-12720.00,1530.00,-12515.31,1325.31
20210923,-3820.00,5500.00,257.71,1422.29
20210924,-410.00,1750.00,-182.39,1522.39
20210927,-980.00,-3420.00,-6007.78,1607.78
20210928,-7010.00,4630.00,-4083.76,1703.76
20210929,-7530.00,700.00,-8630.61,1800.61
20210930,2910.00,1160.00,2186.91,1883.09
20211008,17560.00,1560.00,17158.75,1961.25
20211011,22680.00,-2270.00,18378.35,2031.65
20211012,15990.00,-680.00,13176.74,2133.26
20211013,11760.00,490.00,10027.91,2222.09
20211014,7340.00,620.00,5631.48,2328.52
20211015,10740.00,2710.00,11028.12,2421.88
20211018,15000.00,2110.00,14592.76,2517.24
20211019,18960.00,-2450.00,13903.42,2606.58
20211020,19380.00,7150.00,23830.06,2699.94
20211021,34930.00,-6710.00,25402.09,2817.91
20211022,12670.00,-160.00,9598.64,2911.36
20211025,16380.00,-620.00,12762.53,2997.47
20211026,25160.00,-1940.00,20136.30,3083.70
20211027,20910.00,-4060.00,13666.41,3183.59
20211028,13130.00,780.00,10638.98,3271.02
