code,time,direct,action,price,qty,tag,fee,barno
DCE.m.HOT,202108312110,LONG,OPEN,3508,5,,7.55,1
DCE.y.HOT,202108312110,LONG,OPEN,9082,5,,12.55,1
DCE.c.HOT,202108312110,LONG,OPEN,2479,3,,3.63,1
DCE.cs.HOT,202108312110,SHORT,OPEN,2827,5,,7.55,1
DCE.m.HOT,202108312115,LONG,CLOSE,3511,1,,0,2
DCE.c.HOT,202108312115,LONG,OPEN,2477,2,,2.42,2
DCE.y.HOT,202108312120,LONG,CLOSE,9058,1,,0,3
DCE.m.HOT,202108312125,LONG,OPEN,3511,1,,1.51,4
DCE.y.HOT,202108312125,LONG,OPEN,9050,1,,2.51,4
DCE.c.HOT,202108312130,LONG,CLOSE,2474,1,,0,5
DCE.y.HOT,202108312135,LONG,CLOSE,9064,1,,0,6
DCE.c.HOT,202108312135,LONG,OPEN,2475,1,,1.21,6
DCE.y.HOT,202108312140,LONG,OPEN,9068,1,,2.51,7
DCE.y.HOT,202108312145,LONG,CLOSE,9058,1,,0,8
DCE.y.HOT,202108312150,LONG,OPEN,9034,1,,2.51,9
DCE.c.HOT,202108312150,LONG,CLOSE,2473,1,,0,9
DCE.c.HOT,202108312155,LONG,OPEN,2473,1,,1.21,10
DCE.cs.HOT,202108312155,SHORT,CLOSE,2829,1,,0,10
DCE.y.HOT,202108312200,LONG,CLOSE,9016,1,,0,11
DCE.cs.HOT,202108312200,SHORT,OPEN,2830,1,,1.51,11
DCE.y.HOT,202108312205,LONG,OPEN,8996,1,,2.51,12
DCE.cs.HOT,202108312205,SHORT,CLOSE,2834,1,,0,12
DCE.y.HOT,202108312210,LONG,CLOSE,8990,1,,0,13
DCE.cs.HOT,202108312210,SHORT,OPEN,2840,1,,1.51,13
DCE.m.HOT,202108312215,LONG,CLOSE,3493,1,,0,14
DCE.y.HOT,202108312215,LONG,OPEN,9002,1,,2.51,14
DCE.m.HOT,202108312220,LONG,OPEN,3490,1,,1.51,15
DCE.y.HOT,202108312220,LONG,CLOSE,8990,1,,0,15
DCE.y.HOT,202108312225,LONG,OPEN,8984,1,,2.51,16
DCE.m.HOT,202108312245,LONG,CLOSE,3487,1,,0,20
DCE.m.HOT,202108312250,LONG,OPEN,3491,1,,1.51,21
DCE.c.HOT,202109010920,LONG,CLOSE,2478,1,,0,27
DCE.c.HOT,202109010925,LONG,OPEN,2481,1,,1.21,28
DCE.m.HOT,202109010930,LONG,CLOSE,3488,1,,0,29
DCE.m.HOT,202109010935,LONG,OPEN,3486,1,,1.51,30
DCE.y.HOT,202109010935,LONG,CLOSE,8958,1,,0,30
DCE.c.HOT,202109010935,LONG,CLOSE,2479,1,,0,30
DCE.y.HOT,202109010940,LONG,OPEN,8962,1,,2.51,31
DCE.c.HOT,202109010940,LONG,OPEN,2479,1,,1.21,31
DCE.cs.HOT,202109010950,SHORT,CLOSE,2859,1,,0,33
DCE.cs.HOT,202109011000,SHORT,OPEN,2863,1,,1.51,35
DCE.cs.HOT,202109011005,SHORT,CLOSE,2864,1,,0,36
DCE.cs.HOT,202109011010,SHORT,OPEN,2864,1,,1.51,37
DCE.y.HOT,202109011015,LONG,CLOSE,8954,1,,0,38
DCE.cs.HOT,202109011015,SHORT,CLOSE,2864,1,,0,38
DCE.y.HOT,202109011035,LONG,OPEN,8940,1,,2.51,39
DCE.cs.HOT,202109011035,SHORT,OPEN,2864,1,,1.51,39
DCE.c.HOT,202109011040,LONG,CLOSE,2471,1,,0,40
DCE.y.HOT,202109011045,LONG,CLOSE,8942,1,,0,41
DCE.c.HOT,202109011045,LONG,OPEN,2472,1,,1.21,41
DCE.y.HOT,202109011050,LONG,OPEN,8936,1,,2.51,42
DCE.cs.HOT,202109011100,SHORT,CLOSE,2861,1,,0,44
DCE.cs.HOT,202109011105,SHORT,OPEN,2859,1,,1.51,45
DCE.m.HOT,202109011110,LONG,CLOSE,3496,1,,0,46
DCE.y.HOT,202109011110,LONG,CLOSE,8986,1,,0,46
DCE.m.HOT,202109011115,LONG,OPEN,3494,1,,1.51,47
DCE.c.HOT,202109011115,LONG,CLOSE,2475,1,,0,47
DCE.y.HOT,202109011120,LONG,OPEN,8962,1,,2.51,48
DCE.c.HOT,202109011120,LONG,OPEN,2476,1,,1.21,48
DCE.c.HOT,202109011125,LONG,CLOSE,2476,1,,0,49
DCE.m.HOT,202109011130,LONG,CLOSE,3497,1,,0,50
DCE.c.HOT,202109011130,LONG,OPEN,2476,1,,1.21,50
DCE.m.HOT,202109011335,LONG,OPEN,3496,1,,1.51,51
DCE.m.HOT,202109011340,LONG,CLOSE,3493,1,,0,52
DCE.y.HOT,202109011340,LONG,CLOSE,8974,1,,0,52
