date,closeprofit,positionprofit,dynbalance,fee
20210901,-7510.00,-2310.00,-9912.67,92.67
20210902,-10120.00,-1270.00,-11585.88,195.88
20210903,-2800.00,1920.00,-1172.57,292.57
20210906,-1920.00,1690.00,-629.32,399.32
20210907,3160.00,150.00,2808.04,501.96
20210908,3430.00,-180.00,2655.00,595.00
20210909,-860.00,2150.00,599.43,690.57
20210910,-2210.00,-5400.00,-8387.91,777.91
20210913,-2390.00,-2140.00,-5404.48,874.48
20210914,-6020.00,1980.00,-5003.52,963.52
20210915,-4300.00,2010.00,-3347.89,1057.89
20210916,1640.00,-140.00,343.31,1156.69
20210917,-10450.00,-690.00,-12392.54,1252.54
20210922,-12070.00,1570.00,-11814.32,1314.32
20210923,-2410.00,5290.00,1467.01,1412.99
20210924,1450.00,1320.00,1270.81,1499.19
20210927,130.00,-3800.00,-5260.04,1590.04
20210928,-7340.00,4710.00,-4309.57,1679.57
20210929,-8620.00,1440.00,-8975.24,1795.24
20210930,1840.00,1350.00,1299.31,1890.69
20211008,16980.00,1030.00,16050.31,1959.69
20211011,22010.00,-1700.00,18273.43,2036.57
20211012,14530.00,-1110.00,11279.43,2140.57
20211013,10450.00,-1020.00,7186.31,2243.69
20211014,4420.00,1750.00,3832.94,2337.06
20211015,6050.00,4930.00,8557.01,2422.99
20211018,11020.00,4100.00,12606.04,2513.96
20211019,14090.00,1850.00,13337.60,2602.40
20211020,20110.00,5740.00,23145.01,2704.99
20211021,35370.00,-8590.00,23970.89,2809.11
20211022,10320.00,80.00,7503.88,2896.12
20211025,14380.00,-480.00,10907.01,2992.99
20211026,21750.00,-1080.00,17582.96,3087.04
20211027,18530.00,-3050.00,12290.54,3189.46
20211028,8640.00,3940.00,9284.21,3295.79
