code,time,direct,action,price,qty,tag,fee,barno
DCE.m.HOT,202108312110,LONG,OPEN,3508,5,,7.55,1
DCE.y.HOT,202108312110,LONG,OPEN,9082,5,,12.55,1
DCE.c.HOT,202108312110,LONG,OPEN,2479,5,,6.05,1
DCE.cs.HOT,202108312110,SHORT,OPEN,2827,5,,7.55,1
DCE.m.HOT,202108312115,LONG,CLOSE,3511,1,,0,2
DCE.m.HOT,202108312120,LONG,OPEN,3508,1,,1.51,3
DCE.cs.HOT,202108312120,SHORT,CLOSE,2833,1,,0,3
DCE.cs.HOT,202108312125,SHORT,OPEN,2834,1,,1.51,4
DCE.y.HOT,202108312130,LONG,CLOSE,9066,1,,0,5
DCE.y.HOT,202108312135,LONG,OPEN,9064,1,,2.51,6
DCE.c.HOT,202108312140,LONG,CLOSE,2476,1,,0,7
DCE.m.HOT,202108312145,LONG,CLOSE,3502,1,,0,8
DCE.m.HOT,202108312150,LONG,OPEN,3496,1,,1.51,9
DCE.c.HOT,202108312155,LONG,OPEN,2473,1,,1.21,10
DCE.y.HOT,202108312200,LONG,CLOSE,9016,1,,0,11
DCE.y.HOT,202108312205,LONG,OPEN,8996,1,,2.51,12
DCE.cs.HOT,202108312205,SHORT,CLOSE,2834,1,,0,12
DCE.cs.HOT,202108312210,SHORT,OPEN,2840,1,,1.51,13
DCE.y.HOT,202108312215,LONG,CLOSE,9002,1,,0,14
DCE.y.HOT,202108312220,LONG,OPEN,8990,1,,2.51,15
DCE.c.HOT,202108312225,LONG,CLOSE,2479,1,,0,16
DCE.m.HOT,202108312230,LONG,CLOSE,3488,1,,0,17
DCE.c.HOT,202108312235,LONG,OPEN,2478,1,,1.21,18
DCE.m.HOT,202108312245,LONG,OPEN,3487,1,,1.51,20
DCE.c.HOT,202108312245,LONG,CLOSE,2480,1,,0,20
DCE.m.HOT,202108312250,LONG,CLOSE,3491,1,,0,21
DCE.c.HOT,202108312250,LONG,OPEN,2480,1,,1.21,21
DCE.c.HOT,202108312255,LONG,CLOSE,2477,1,,0,22
DCE.m.HOT,202108312300,LONG,OPEN,3490,1,,1.51,23
DCE.m.HOT,202109010905,LONG,CLOSE,3498,1,,0,24
DCE.c.HOT,202109010905,LONG,OPEN,2477,1,,1.21,24
DCE.m.HOT,202109010910,LONG,OPEN,3490,1,,1.51,25
DCE.c.HOT,202109010920,LONG,CLOSE,2478,1,,0,27
DCE.c.HOT,202109010925,LONG,OPEN,2481,1,,1.21,28
DCE.c.HOT,202109010955,LONG,CLOSE,2478,1,,0,34
DCE.m.HOT,202109011000,LONG,CLOSE,3492,1,,0,35
DCE.c.HOT,202109011000,LONG,OPEN,2478,1,,1.21,35
DCE.m.HOT,202109011005,LONG,OPEN,3491,1,,1.51,36
DCE.cs.HOT,202109011005,SHORT,CLOSE,2864,1,,0,36
DCE.cs.HOT,202109011010,SHORT,OPEN,2864,1,,1.51,37
DCE.m.HOT,202109011015,LONG,CLOSE,3496,1,,0,38
DCE.c.HOT,202109011015,LONG,CLOSE,2477,1,,0,38
DCE.cs.HOT,202109011015,SHORT,CLOSE,2864,1,,0,38
DCE.m.HOT,202109011035,LONG,OPEN,3495,1,,1.51,39
DCE.c.HOT,202109011035,LONG,OPEN,2475,1,,1.21,39
DCE.cs.HOT,202109011035,SHORT,OPEN,2864,1,,1.51,39
DCE.y.HOT,202109011045,LONG,CLOSE,8942,1,,0,41
DCE.c.HOT,202109011045,LONG,CLOSE,2472,1,,0,41
DCE.y.HOT,202109011050,LONG,OPEN,8936,1,,2.51,42
DCE.c.HOT,202109011050,LONG,OPEN,2473,1,,1.21,42
DCE.m.HOT,202109011105,LONG,CLOSE,3493,1,,0,45
DCE.m.HOT,202109011110,LONG,OPEN,3496,1,,1.51,46
DCE.y.HOT,202109011110,LONG,CLOSE,8986,1,,0,46
DCE.c.HOT,202109011110,LONG,CLOSE,2475,1,,0,46
DCE.c.HOT,202109011115,LONG,OPEN,2475,1,,1.21,47
DCE.y.HOT,202109011120,LONG,OPEN,8962,1,,2.51,48
DCE.y.HOT,202109011125,LONG,CLOSE,8964,1,,0,49
DCE.y.HOT,202109011130,LONG,OPEN,8968,1,,2.51,50
DCE.c.HOT,202109011345,LONG,CLOSE,2473,1,,0,53
DCE.c.HOT,202109011350,LONG,OPEN,2472,1,,1.21,54
DCE.m.HOT,202109011355,LONG,CLOSE,3498,1,,0,55
DCE.m.HOT,202109011410,LONG,OPEN,3493,1,,1.51,58
DCE.c.HOT,202109011415,LONG,CLOSE,2466,1,,0,59
DCE.m.HOT,202109011420,LONG,CLOSE,3493,1,,0,60
DCE.c.HOT,202109011420,LONG,OPEN,2469,1,,1.21,60
