code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
DCE.m.HOT,LONG,202108312110,3508,202108312115,3511,1,30,40,-10,-3.7,,,1,2
DCE.cs.HOT,SHORT,202108312110,2827,202108312120,2833,1,-60,40,-90,-65.21,,,1,3
DCE.y.HOT,LONG,202108312110,9082,202108312130,9066,1,-160,40,-340,-226.72,,,1,5
DCE.c.HOT,LONG,202108312110,2479,202108312140,2476,1,-30,10,-50,-259.23,,,1,7
DCE.m.HOT,LONG,202108312110,3508,202108312145,3502,1,-60,80,-70,-319.23,,,1,8
DCE.y.HOT,LONG,202108312110,9082,202108312200,9016,1,-660,50,-680,-981.95,,,1,11
DCE.cs.HOT,SHORT,202108312110,2827,202108312205,2834,1,-70,50,-112.5,-1054.46,,,1,12
DCE.y.HOT,LONG,202108312110,9082,202108312215,9002,1,-800,66.6667,-1000,-1855.97,,,1,14
DCE.c.HOT,LONG,202108312110,2479,202108312225,2479,1,0,40,-70,-1858.48,,,1,16
DCE.m.HOT,LONG,202108312110,3508,202108312230,3488,1,-200,106.667,-210,-2058.48,,,1,17
DCE.c.HOT,LONG,202108312110,2479,202108312245,2480,1,10,53.3333,-93.3333,-2051.2,,,1,20
DCE.m.HOT,LONG,202108312110,3508,202108312250,3491,1,-170,160,-315,-2221.2,,,1,21
DCE.c.HOT,LONG,202108312110,2479,202108312255,2477,1,-20,80,-140,-2242.41,,,1,22
DCE.m.HOT,LONG,202108312110,3508,202109010905,3498,1,-100,320,-630,-2343.92,,,1,24
DCE.c.HOT,LONG,202108312110,2479,202109010920,2478,1,-10,160,-280,-2356.64,,,1,27
DCE.c.HOT,LONG,202108312155,2473,202109010955,2478,1,50,100,-10,-2307.85,,,10,34
DCE.m.HOT,LONG,202108312120,3508,202109011000,3492,1,-160,80,-290,-2467.85,,,3,35
DCE.cs.HOT,SHORT,202108312110,2827,202109011005,2864,1,-370,66.6667,-400,-2840.57,,,1,36
DCE.m.HOT,LONG,202108312150,3496,202109011015,3496,1,0,40,-170,-2842.08,,,9,38
DCE.c.HOT,LONG,202108312235,2478,202109011015,2477,1,-10,40,-40,-2852.08,,,18,38
DCE.cs.HOT,SHORT,202108312110,2827,202109011015,2864,1,-370,100,-600,-3222.08,,,1,38
DCE.y.HOT,LONG,202108312110,9082,202109011045,8942,1,-1400,100,-1540,-4626.31,,,1,41
DCE.c.HOT,LONG,202108312250,2480,202109011045,2472,1,-80,20,-90,-4706.31,,,21,41
DCE.m.HOT,LONG,202108312245,3487,202109011105,3493,1,60,130,-80,-4650.03,,,20,45
DCE.y.HOT,LONG,202108312110,9082,202109011110,8986,1,-960,200,-3080,-5611.54,,,1,46
