code,target,sigprice,gentime,usertag
DCE.c.HOT,5,2480,20210831210500000,
DCE.cs.HOT,-5,2828,20210831210500000,
DCE.m.HOT,5,3507,20210831210500000,
DCE.y.HOT,5,9082,20210831210500000,
DCE.m.HOT,4,3511,20210831211000000,
DCE.cs.HOT,-4,2833,20210831211500000,
DCE.m.HOT,5,3508,20210831211500000,
DCE.cs.HOT,-5,2834,20210831212000000,
DCE.y.HOT,4,9068,20210831212500000,
DCE.y.HOT,5,9064,20210831213000000,
DCE.c.HOT,4,2476,20210831213500000,
DCE.m.HOT,4,3501,20210831214000000,
DCE.m.HOT,5,3496,20210831214500000,
DCE.c.HOT,5,2473,20210831215000000,
DCE.y.HOT,4,9014,20210831215500000,
DCE.cs.HOT,-4,2834,20210831220000000,
DCE.y.HOT,5,8998,20210831220000000,
DCE.cs.HOT,-5,2839,20210831220500000,
DCE.y.HOT,4,9002,20210831221000000,
DCE.y.HOT,5,8990,20210831221500000,
DCE.c.HOT,4,2479,20210831222000000,
DCE.m.HOT,4,3488,20210831222500000,
DCE.c.HOT,5,2478,20210831223000000,
DCE.c.HOT,4,2480,20210831224000000,
DCE.m.HOT,5,3486,20210831224000000,
DCE.c.HOT,5,2481,20210831224500000,
DCE.m.HOT,4,3491,20210831224500000,
DCE.c.HOT,4,2476,20210831225000000,
DCE.m.HOT,5,3490,20210831225500000,
DCE.c.HOT,5,2476,20210831230000000,
DCE.m.HOT,4,3486,20210831230000000,
DCE.m.HOT,5,3492,20210901090500000,
DCE.c.HOT,4,2479,20210901091500000,
DCE.c.HOT,5,2481,20210901092000000,
DCE.c.HOT,4,2479,20210901095000000,
DCE.c.HOT,5,2479,20210901095500000,
DCE.m.HOT,4,3492,20210901095500000,
DCE.cs.HOT,-4,2863,20210901100000000,
DCE.m.HOT,5,3491,20210901100000000,
DCE.cs.HOT,-5,2865,20210901100500000,
DCE.c.HOT,4,2477,20210901101000000,
DCE.cs.HOT,-4,2864,20210901101000000,
DCE.m.HOT,4,3497,20210901101000000,
DCE.c.HOT,5,2476,20210901101500000,
DCE.cs.HOT,-5,2864,20210901101500000,
DCE.m.HOT,5,3494,20210901101500000,
DCE.c.HOT,4,2472,20210901104000000,
DCE.y.HOT,4,8942,20210901104000000,
DCE.c.HOT,5,2472,20210901104500000,
DCE.y.HOT,5,8936,20210901104500000,
DCE.m.HOT,4,3494,20210901110000000,
DCE.c.HOT,4,2474,20210901110500000,
DCE.m.HOT,5,3496,20210901110500000,
DCE.y.HOT,4,8986,20210901110500000,
DCE.c.HOT,5,2474,20210901111000000,
DCE.y.HOT,5,8962,20210901111500000,
DCE.y.HOT,4,8966,20210901112000000,
DCE.y.HOT,5,8968,20210901112500000,
DCE.c.HOT,4,2473,20210901134000000,
DCE.c.HOT,5,2472,20210901134500000,
DCE.m.HOT,4,3498,20210901135000000,
DCE.m.HOT,5,3494,20210901140500000,
DCE.c.HOT,4,2466,20210901141000000,
DCE.c.HOT,5,2469,20210901141500000,
DCE.m.HOT,4,3493,20210901141500000,
DCE.c.HOT,4,2469,20210901142000000,
DCE.c.HOT,5,2467,20210901142500000,
DCE.m.HOT,5,3491,20210901142500000,
DCE.m.HOT,4,3494,20210901143000000,
DCE.m.HOT,5,3492,20210901143500000,
DCE.m.HOT,4,3492,20210901144000000,
DCE.y.HOT,4,8932,20210901144000000,
DCE.c.HOT,4,2466,20210901144500000,
DCE.m.HOT,5,3493,20210901144500000,
DCE.y.HOT,5,8940,20210901144500000,
DCE.c.HOT,5,2464,20210901145000000,
DCE.m.HOT,4,3489,20210901145000000,
DCE.m.HOT,5,3493,20210901145500000,
DCE.cs.HOT,-4,2865,20210901150000000,
DCE.m.HOT,4,3491,20210901150000000,
DCE.m.HOT,5,3491,20210901210500000,
DCE.cs.HOT,-5,2873,20210901211000000,
DCE.cs.HOT,-4,2876,20210901211500000,
DCE.cs.HOT,-5,2877,20210901212000000,
DCE.c.HOT,4,2467,20210901213000000,
DCE.cs.HOT,-4,2876,20210901213000000,
DCE.c.HOT,5,2467,20210901213500000,
DCE.cs.HOT,-5,2879,20210901213500000,
DCE.m.HOT,4,3482,20210901215000000,
DCE.m.HOT,5,3479,20210901215500000,
DCE.cs.HOT,-3,2880,20210901220000000,
DCE.y.HOT,4,8900,20210901220000000,
DCE.cs.HOT,-5,2879,20210901220500000,
DCE.m.HOT,4,3480,20210901220500000,
DCE.y.HOT,5,8904,20210901220500000,
