date,closeprofit,positionprofit,dynbalance,fee
20210901,-8800.00,-1650.00,-10532.51,82.51
20210902,-11390.00,-250.00,-11808.83,168.83
20210903,-210.00,-1020.00,-1505.97,275.97
20210906,-2500.00,2370.00,-491.78,361.78
20210907,2160.00,1590.00,3292.07,457.93
20210908,2780.00,200.00,2424.68,555.32
20210909,-70.00,1580.00,872.89,637.11
20210910,-2150.00,-5280.00,-8173.13,743.13
20210913,-1650.00,-1570.00,-4064.44,844.44
20210914,-2590.00,180.00,-3357.23,947.23
20210915,-2790.00,2610.00,-1205.62,1025.62
20210916,2490.00,90.00,1450.86,1129.14
20210917,-4640.00,-5680.00,-11546.01,1226.01
20210922,-11490.00,1120.00,-11651.14,1281.14
20210923,-2470.00,5140.00,1297.52,1372.48
20210924,2540.00,-390.00,670.70,1479.30
20210927,-370.00,-4420.00,-6376.54,1586.54
20210928,-9940.00,5690.00,-5932.72,1682.72
20210929,-9780.00,570.00,-10991.00,1781.00
20210930,270.00,970.00,-631.64,1871.64
20211008,9830.00,2580.00,10460.50,1949.50
20211011,15260.00,-1590.00,11634.09,2035.91
20211012,7710.00,-50.00,5531.33,2128.67
20211013,4530.00,800.00,3095.51,2234.49
20211014,-1250.00,2270.00,-1310.99,2330.99
20211015,4740.00,2460.00,4777.07,2422.93
20211018,10650.00,1480.00,9602.67,2527.33
20211019,12680.00,-630.00,9417.46,2632.54
20211020,16840.00,5850.00,19959.38,2730.62
20211021,32560.00,-9160.00,20575.23,2824.77
20211022,9170.00,-2360.00,3881.90,2928.10
20211025,10370.00,-60.00,7275.67,3034.33
20211026,19830.00,-1400.00,15313.89,3116.11
20211027,17020.00,-3530.00,10275.84,3214.16
20211028,10370.00,920.00,7988.71,3301.29
