code,target,sigprice,gentime,usertag
DCE.cs.HOT,-5,2904,20210902211000000,
DCE.c.HOT,4,2498,20210902211500000,
DCE.c.HOT,5,2496,20210902212000000,
DCE.c.HOT,4,2494,20210902213000000,
DCE.c.HOT,5,2498,20210902213500000,
DCE.m.HOT,4,3509,20210902213500000,
DCE.m.HOT,5,3501,20210902214000000,
DCE.cs.HOT,-4,2904,20210902214500000,
DCE.cs.HOT,-5,2902,20210902215000000,
DCE.m.HOT,4,3501,20210902215500000,
DCE.m.HOT,5,3501,20210902220000000,
DCE.y.HOT,4,8956,20210902221500000,
DCE.c.HOT,4,2494,20210902222000000,
DCE.y.HOT,5,8966,20210902222000000,
DCE.c.HOT,5,2496,20210902222500000,
DCE.c.HOT,4,2495,20210902223000000,
DCE.cs.HOT,-4,2902,20210902223500000,
DCE.c.HOT,5,2495,20210902224000000,
DCE.cs.HOT,-5,2903,20210902224000000,
DCE.m.HOT,4,3505,20210902225500000,
DCE.m.HOT,5,3505,20210902230000000,
DCE.cs.HOT,-4,2897,20210903090500000,
DCE.cs.HOT,-5,2901,20210903091000000,
DCE.m.HOT,4,3500,20210903091000000,
DCE.m.HOT,5,3499,20210903091500000,
DCE.y.HOT,4,8956,20210903091500000,
DCE.y.HOT,5,8940,20210903092000000,
DCE.m.HOT,4,3496,20210903092500000,
DCE.m.HOT,5,3494,20210903093000000,
DCE.y.HOT,4,8934,20210903093000000,
DCE.cs.HOT,-4,2899,20210903093500000,
DCE.y.HOT,5,8936,20210903093500000,
DCE.cs.HOT,-5,2896,20210903094000000,
DCE.m.HOT,4,3493,20210903094000000,
DCE.m.HOT,5,3493,20210903094500000,
DCE.y.HOT,4,8940,20210903095000000,
DCE.cs.HOT,-4,2898,20210903095500000,
DCE.y.HOT,5,8934,20210903095500000,
DCE.c.HOT,4,2493,20210903100000000,
DCE.cs.HOT,-5,2899,20210903100000000,
DCE.c.HOT,5,2493,20210903100500000,
DCE.c.HOT,4,2493,20210903103500000,
DCE.m.HOT,4,3493,20210903103500000,
DCE.c.HOT,5,2493,20210903104000000,
DCE.m.HOT,5,3491,20210903104000000,
DCE.m.HOT,4,3488,20210903104500000,
DCE.y.HOT,4,9100,20210903104500000,
DCE.cs.HOT,-4,2901,20210903105000000,
DCE.m.HOT,5,3487,20210903105000000,
DCE.y.HOT,5,9096,20210903105000000,
DCE.c.HOT,4,2491,20210903105500000,
DCE.cs.HOT,-5,2902,20210903105500000,
DCE.y.HOT,4,9090,20210903105500000,
DCE.c.HOT,5,2489,20210903110000000,
DCE.m.HOT,4,3491,20210903110000000,
DCE.y.HOT,5,9114,20210903110000000,
DCE.c.HOT,4,2489,20210903110500000,
DCE.m.HOT,5,3497,20210903110500000,
DCE.c.HOT,5,2488,20210903111500000,
DCE.m.HOT,4,3493,20210903111500000,
DCE.m.HOT,5,3492,20210903112000000,
DCE.y.HOT,4,9138,20210903113000000,
DCE.y.HOT,5,9158,20210903133500000,
DCE.c.HOT,4,2490,20210903134000000,
DCE.m.HOT,4,3492,20210903134000000,
DCE.c.HOT,5,2493,20210903134500000,
DCE.m.HOT,5,3495,20210903134500000,
DCE.y.HOT,4,9168,20210903134500000,
DCE.y.HOT,5,9174,20210903135000000,
DCE.y.HOT,4,9176,20210903135500000,
DCE.m.HOT,4,3494,20210903140000000,
DCE.y.HOT,5,9182,20210903140000000,
DCE.cs.HOT,-4,2904,20210903140500000,
DCE.m.HOT,5,3491,20210903140500000,
DCE.y.HOT,4,9188,20210903140500000,
DCE.cs.HOT,-5,2905,20210903141000000,
DCE.y.HOT,5,9198,20210903141000000,
DCE.cs.HOT,-4,2904,20210903142000000,
DCE.c.HOT,4,2492,20210903142500000,
DCE.cs.HOT,-5,2904,20210903142500000,
DCE.c.HOT,5,2490,20210903143000000,
DCE.cs.HOT,-4,2904,20210903143000000,
DCE.cs.HOT,-5,2903,20210903143500000,
DCE.cs.HOT,-4,2902,20210903144000000,
DCE.cs.HOT,-5,2903,20210903144500000,
DCE.c.HOT,4,2492,20210903145500000,
DCE.c.HOT,5,2491,20210903150000000,
DCE.y.HOT,4,9150,20210903210500000,
DCE.cs.HOT,-4,2888,20210903211000000,
DCE.m.HOT,4,3492,20210903211000000,
DCE.y.HOT,5,9148,20210903211000000,
DCE.m.HOT,5,3491,20210903211500000,
DCE.cs.HOT,-5,2887,20210903212000000,
DCE.cs.HOT,-4,2887,20210903213000000,
DCE.cs.HOT,-5,2887,20210903214000000,
DCE.m.HOT,4,3487,20210903214500000,
DCE.c.HOT,4,2483,20210903215500000,
DCE.m.HOT,5,3485,20210903215500000,
DCE.c.HOT,5,2481,20210903220000000,
DCE.m.HOT,4,3482,20210903220500000,
DCE.m.HOT,5,3475,20210903221000000,
DCE.c.HOT,4,2479,20210903221500000,
DCE.y.HOT,4,9158,20210903221500000,
DCE.c.HOT,5,2480,20210903222000000,
DCE.m.HOT,4,3476,20210903222000000,
DCE.y.HOT,5,9154,20210903222000000,
DCE.m.HOT,5,3477,20210903222500000,
DCE.y.HOT,4,9150,20210903223500000,
DCE.c.HOT,4,2477,20210903224000000,
DCE.y.HOT,5,9138,20210903224000000,
DCE.c.HOT,3,2476,20210903224500000,
DCE.y.HOT,4,9144,20210903224500000,
DCE.c.HOT,5,2476,20210903225000000,
DCE.cs.HOT,-4,2882,20210903225000000,
DCE.y.HOT,5,9140,20210903225000000,
DCE.cs.HOT,-5,2883,20210903225500000,
DCE.m.HOT,4,3475,20210903225500000,
