code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
DCE.m.HOT,LONG,202108312110,3508,202108312115,3511,1,30,40,-10,-3.7,,,1,2
DCE.cs.HOT,SHORT,202108312110,2827,202108312125,2834,1,-70,40,-90,-75.21,,,1,4
DCE.c.HOT,LONG,202108312110,2479,202108312145,2475,1,-40,10,-60,-116.72,,,1,8
DCE.m.HOT,LONG,202108312110,3508,202108312210,3488,1,-200,80,-200,-317.93,,,1,13
DCE.y.HOT,LONG,202108312110,9082,202108312210,8990,1,-920,40,-960,-1237.93,,,1,13
DCE.c.HOT,LONG,202108312110,2479,202108312255,2477,1,-20,40,-75,-1261.95,,,1,22
DCE.cs.HOT,SHORT,202108312110,2827,202109010905,2839,1,-120,50,-240,-1383.16,,,1,24
DCE.c.HOT,LONG,202108312110,2479,202109010910,2475,1,-40,53.3333,-100,-1423.16,,,1,25
DCE.cs.HOT,SHORT,202108312110,2827,202109010915,2863,1,-360,66.6667,-400,-1784.67,,,1,26
DCE.cs.HOT,SHORT,202108312110,2827,202109010925,2856,1,-290,100,-600,-2077.39,,,1,28
DCE.m.HOT,LONG,202108312110,3508,202109010930,3488,1,-200,106.667,-266.667,-2277.39,,,1,29
DCE.c.HOT,LONG,202108312110,2479,202109010930,2479,1,0,80,-150,-2277.39,,,1,29
DCE.c.HOT,LONG,202108312110,2479,202109010950,2479,1,0,160,-300,-2281.62,,,1,33
DCE.cs.HOT,SHORT,202108312110,2827,202109010955,2864,1,-370,200,-1200,-2651.62,,,1,34
DCE.m.HOT,LONG,202108312110,3508,202109011000,3492,1,-160,160,-400,-2811.62,,,1,35
DCE.m.HOT,LONG,202108312110,3508,202109011040,3490,1,-180,320,-800,-2995.85,,,1,40
DCE.y.HOT,LONG,202108312110,9082,202109011040,8952,1,-1300,50,-1540,-4295.85,,,1,40
DCE.c.HOT,LONG,202108312150,2473,202109011040,2471,1,-20,100,-20,-4315.85,,,9,40
DCE.cs.HOT,SHORT,202108312130,2832,202109011040,2857,1,-250,60,-350,-4565.85,,,5,40
DCE.cs.HOT,SHORT,202109010910,2850,202109011055,2862,1,-120,30,-170,-4692.59,,,25,43
DCE.m.HOT,LONG,202108312125,3511,202109011115,3494,1,-170,50,-320,-4862.59,,,4,47
DCE.y.HOT,LONG,202108312110,9082,202109011335,8974,1,-1080,66.6667,-2053.33,-5945.61,,,1,51
DCE.cs.HOT,SHORT,202109010920,2854,202109011335,2860,1,-60,0,-130,-6005.61,,,27,51
DCE.y.HOT,LONG,202108312110,9082,202109011355,8982,1,-1000,100,-3080,-7009.63,,,1,55
DCE.cs.HOT,SHORT,202109010930,2855,202109011355,2853,1,20,20,-120,-6989.63,,,29,55
DCE.c.HOT,LONG,202108312300,2478,202109011400,2467,1,-110,40,-140,-7102.14,,,23,56
DCE.m.HOT,LONG,202108312215,3493,202109011410,3493,1,0,70,-140,-7104.86,,,14,58
DCE.c.HOT,LONG,202109010920,2478,202109011420,2469,1,-90,40,-150,-7196.37,,,27,60
DCE.c.HOT,LONG,202109010935,2479,202109011435,2467,1,-120,30,-160,-7317.58,,,30,63
DCE.y.HOT,LONG,202108312110,9082,202109011440,8938,1,-1440,200,-6160,-8757.58,,,1,64
DCE.c.HOT,LONG,202109011000,2478,202109011450,2466,1,-120,10,-150,-8881.3,,,35,66
DCE.m.HOT,LONG,202109010935,3486,202109012125,3493,1,70,140,-20,-8814.02,,,30,73
DCE.y.HOT,LONG,202108312215,9002,202109012125,8942,1,-600,0,-820,-9416.53,,,14,73
DCE.c.HOT,LONG,202109011045,2472,202109012125,2467,1,-50,50,-100,-9467.74,,,41,73
DCE.m.HOT,LONG,202109011005,3491,202109012135,3487,1,-40,90,-60,-9514.48,,,36,75
DCE.m.HOT,LONG,202109011045,3486,202109012150,3482,1,-40,140,-50,-9557.5,,,41,78
DCE.m.HOT,LONG,202109011120,3496,202109012200,3479,1,-170,40,-180,-9730.52,,,48,80
DCE.c.HOT,LONG,202109011405,2466,202109012200,2467,1,10,60,-40,-9721.73,,,57,80
DCE.y.HOT,LONG,202109011045,8942,202109012205,8898,1,-440,480,-560,-10165.8,,,41,81
DCE.cs.HOT,SHORT,202109011000,2863,202109012210,2880,1,-170,130,-310,-10341,,,35,82
DCE.y.HOT,LONG,202109011340,8974,202109012220,8902,1,-720,160,-880,-11065,,,52,84
DCE.m.HOT,LONG,202109011420,3493,202109012250,3485,1,-80,40,-170,-11149,,,60,90
DCE.y.HOT,LONG,202109011400,8966,202109020920,8864,1,-1020,40,-1140,-12173,,,56,96
DCE.c.HOT,LONG,202109011425,2468,202109020920,2460,1,-80,40,-90,-12254.3,,,61,96
DCE.m.HOT,LONG,202109012130,3489,202109020925,3468,1,-210,70,-230,-12464.3,,,74,97
DCE.c.HOT,LONG,202109011445,2467,202109020930,2460,1,-70,50,-100,-12540.7,,,65,98
DCE.c.HOT,LONG,202109011455,2465,202109020930,2460,1,-50,70,-80,-12591.9,,,67,98
DCE.m.HOT,LONG,202109012140,3485,202109020935,3465,1,-200,110,-250,-12791.9,,,76,99
DCE.y.HOT,LONG,202109011445,8932,202109020940,8868,1,-640,240,-820,-13436.8,,,65,100
DCE.c.HOT,LONG,202109012130,2468,202109021010,2465,1,-30,30,-110,-13470.9,,,74,106
DCE.m.HOT,LONG,202109012155,3482,202109021110,3483,1,10,140,-220,-13462.1,,,79,115
DCE.m.HOT,LONG,202109012205,3477,202109021120,3484,1,70,190,-170,-13393.6,,,81,117
DCE.y.HOT,LONG,202109012130,8926,202109021120,8912,1,-140,200,-760,-13533.6,,,74,117
DCE.cs.HOT,SHORT,202109011045,2861,202109021120,2885,1,-240,110,-330,-13775.1,,,41,117
DCE.cs.HOT,SHORT,202109011115,2861,202109021130,2888,1,-270,110,-330,-14052.1,,,47,119
DCE.m.HOT,LONG,202109012255,3482,202109021345,3489,1,70,80,-220,-13983.6,,,91,122
DCE.c.HOT,LONG,202109012205,2466,202109021355,2489,1,230,230,-90,-13755.1,,,81,124
DCE.m.HOT,LONG,202109020930,3464,202109021415,3495,1,310,320,-20,-13446.4,,,98,128
DCE.c.HOT,LONG,202109020925,2459,202109021425,2504,1,450,460,-20,-12997.9,,,97,130
DCE.cs.HOT,SHORT,202109011340,2858,202109021425,2906,1,-480,80,-490,-13479.4,,,52,130
DCE.m.HOT,LONG,202109020945,3464,202109021430,3513,1,490,500,-10,-12989.4,,,101,131
DCE.y.HOT,LONG,202109012210,8906,202109021430,8952,1,460,540,-560,-12529.4,,,82,131
DCE.c.HOT,LONG,202109020935,2461,202109021435,2502,1,410,490,-20,-12126.1,,,99,132
DCE.m.HOT,LONG,202109021115,3484,202109021440,3513,1,290,360,-10,-11836.1,,,116,133
DCE.y.HOT,LONG,202109012225,8902,202109021455,8930,1,280,660,-520,-11558.8,,,85,136
DCE.m.HOT,LONG,202109021125,3485,202109022105,3504,1,190,350,-20,-11370.3,,,118,138
DCE.cs.HOT,SHORT,202109011405,2853,202109022110,2899,1,-460,30,-660,-11835.9,,,57,139
DCE.c.HOT,LONG,202109020935,2461,202109022120,2498,1,370,980,-40,-11468.6,,,99,141
DCE.c.HOT,LONG,202109021015,2466,202109022135,2495,1,290,440,-30,-11181,,,107,144
DCE.m.HOT,LONG,202109021350,3489,202109022140,3509,1,200,310,-40,-10982.5,,,123,145
DCE.cs.HOT,SHORT,202109012215,2880,202109022150,2904,1,-240,150,-390,-11226.8,,,83,147
DCE.m.HOT,LONG,202109021420,3504,202109022200,3500,1,-40,160,-70,-11269.8,,,129,149
DCE.y.HOT,LONG,202109020925,8854,202109022220,8956,1,1020,1440,-40,-10253.8,,,97,153
DCE.c.HOT,LONG,202109021400,2491,202109022225,2494,1,30,190,-30,-10227.5,,,125,154
DCE.c.HOT,LONG,202109021430,2507,202109022235,2495,1,-120,20,-190,-10349.9,,,131,156
DCE.cs.HOT,SHORT,202109021125,2887,202109022240,2903,1,-160,20,-320,-10511.4,,,118,157
DCE.m.HOT,LONG,202109021435,3518,202109022300,3505,1,-130,20,-210,-10645.7,,,132,161
DCE.cs.HOT,SHORT,202109021340,2890,202109030910,2897,1,-70,0,-290,-10718.7,,,121,163
DCE.m.HOT,LONG,202109021450,3506,202109030915,3500,1,-60,50,-120,-10780.2,,,135,164
DCE.y.HOT,LONG,202109020950,8870,202109030920,8956,1,860,1280,-100,-9925.73,,,102,165
DCE.m.HOT,LONG,202109022110,3507,202109030930,3496,1,-110,30,-130,-10038.2,,,139,167
DCE.y.HOT,LONG,202109021125,8918,202109030935,8934,1,160,800,-100,-9882.26,,,118,168
DCE.cs.HOT,SHORT,202109021430,2910,202109030940,2899,1,110,160,-90,-9776.28,,,131,169
DCE.m.HOT,LONG,202109022145,3501,202109030945,3494,1,-70,80,-90,-9846.28,,,146,170
DCE.y.HOT,LONG,202109021435,8966,202109030955,8940,1,-260,320,-560,-10111.8,,,132,172
DCE.cs.HOT,SHORT,202109022115,2904,202109031000,2898,1,60,100,-20,-10054.3,,,140,173
DCE.c.HOT,LONG,202109021445,2500,202109031005,2493,1,-70,10,-120,-10125.5,,,134,174
DCE.m.HOT,LONG,202109022205,3501,202109031040,3493,1,-80,80,-170,-10208.3,,,150,178
DCE.c.HOT,LONG,202109022125,2497,202109031040,2493,1,-40,20,-90,-10248.3,,,142,178
DCE.m.HOT,LONG,202109030905,3500,202109031050,3488,1,-120,20,-160,-10371,,,162,180
DCE.y.HOT,LONG,202109022105,8964,202109031050,9100,1,1360,1500,-440,-9010.97,,,138,180
DCE.cs.HOT,SHORT,202109022155,2902,202109031055,2901,1,10,60,-40,-9004.99,,,148,181
DCE.y.HOT,LONG,202109022225,8966,202109031100,9090,1,1240,1480,-440,-7764.99,,,154,182
DCE.c.HOT,LONG,202109022140,2498,202109031100,2490,1,-80,10,-100,-7844.99,,,145,182
DCE.m.HOT,LONG,202109030920,3498,202109031105,3492,1,-60,20,-140,-7906.5,,,165,183
DCE.c.HOT,LONG,202109022230,2495,202109031110,2489,1,-60,40,-70,-7971.73,,,155,184
DCE.m.HOT,LONG,202109030935,3495,202109031120,3493,1,-20,30,-110,-7991.73,,,168,186
DCE.y.HOT,LONG,202109030925,8938,202109031335,9142,1,2040,2060,-160,-5954.45,,,166,189
DCE.m.HOT,LONG,202109030950,3493,202109031345,3492,1,-10,50,-90,-5966.96,,,171,191
DCE.c.HOT,LONG,202109022245,2494,202109031345,2490,1,-40,50,-70,-6006.96,,,158,191
DCE.y.HOT,LONG,202109030940,8936,202109031350,9168,1,2320,2380,-140,-3688.47,,,169,192
DCE.y.HOT,LONG,202109031000,8936,202109031400,9176,1,2400,2480,-140,-1292.19,,,173,194
DCE.m.HOT,LONG,202109031045,3490,202109031405,3494,1,40,80,-50,-1252.19,,,179,195
DCE.y.HOT,LONG,202109031055,9094,202109031410,9190,1,960,1040,-160,-296.21,,,181,196
DCE.cs.HOT,SHORT,202109022245,2903,202109031410,2904,1,-10,70,-50,-306.21,,,158,196
DCE.cs.HOT,SHORT,202109030915,2901,202109031425,2905,1,-40,50,-70,-350.23,,,164,199
DCE.c.HOT,LONG,202109031010,2493,202109031430,2492,1,-10,20,-60,-360.23,,,175,200
DCE.cs.HOT,SHORT,202109030945,2897,202109031435,2905,1,-80,10,-110,-442.95,,,170,201
DCE.cs.HOT,SHORT,202109031005,2899,202109031445,2902,1,-30,20,-90,-474.46,,,174,203
DCE.c.HOT,LONG,202109031045,2493,202109031500,2492,1,-10,20,-60,-485.97,,,179,206
DCE.y.HOT,LONG,202109031105,9116,202109032110,9150,1,340,880,-40,-149.69,,,183,208
DCE.m.HOT,LONG,202109031055,3488,202109032115,3492,1,40,110,-30,-111.2,,,181,209
DCE.cs.HOT,SHORT,202109031100,2902,202109032115,2888,1,140,200,-60,24.78,,,182,209
DCE.cs.HOT,SHORT,202109031415,2906,202109032135,2887,1,190,240,0,210.25,,,197,213
DCE.m.HOT,LONG,202109031110,3498,202109032150,3486,1,-120,10,-170,87.23,,,184,216
DCE.c.HOT,LONG,202109031105,2490,202109032200,2482,1,-80,60,-140,4.51,,,183,218
DCE.m.HOT,LONG,202109031125,3491,202109032210,3482,1,-90,80,-130,-88.21,,,187,220
DCE.y.HOT,LONG,202109031340,9158,202109032220,9156,1,-20,460,-360,-112.23,,,190,222
DCE.c.HOT,LONG,202109031120,2488,202109032220,2479,1,-90,80,-120,-203.44,,,186,222
DCE.m.HOT,LONG,202109031350,3495,202109032225,3476,1,-190,40,-240,-394.95,,,192,223
DCE.y.HOT,LONG,202109031355,9176,202109032240,9150,1,-260,280,-540,-662.69,,,193,226
DCE.c.HOT,LONG,202109031350,2494,202109032245,2476,1,-180,20,-180,-846.41,,,192,227
DCE.y.HOT,LONG,202109031405,9182,202109032250,9144,1,-380,220,-600,-1228.92,,,195,228
DCE.c.HOT,LONG,202109031435,2490,202109032250,2476,1,-140,60,-150,-1370.13,,,201,228
DCE.cs.HOT,SHORT,202109031430,2904,202109032255,2882,1,220,260,-10,-1156.57,,,200,229
