code,time,direct,action,price,qty,tag,fee,barno
DCE.m.HOT,202108312110,LONG,OPEN,3508,5,,7.55,1
DCE.y.HOT,202108312110,LONG,OPEN,9082,5,,12.55,1
DCE.c.HOT,202108312110,LONG,OPEN,2479,5,,6.05,1
DCE.cs.HOT,202108312110,SHORT,OPEN,2827,5,,7.55,1
DCE.m.HOT,202108312115,LONG,CLOSE,3511,1,,0,2
DCE.m.HOT,202108312125,LONG,OPEN,3511,1,,1.51,4
DCE.cs.HOT,202108312125,SHORT,CLOSE,2834,1,,0,4
DCE.cs.HOT,202108312130,SHORT,OPEN,2832,1,,1.51,5
DCE.c.HOT,202108312145,LONG,CLOSE,2475,1,,0,8
DCE.c.HOT,202108312150,LONG,OPEN,2473,1,,1.21,9
DCE.m.HOT,202108312210,LONG,CLOSE,3488,1,,0,13
DCE.y.HOT,202108312210,LONG,CLOSE,8990,1,,0,13
DCE.m.HOT,202108312215,LONG,OPEN,3493,1,,1.51,14
DCE.y.HOT,202108312215,LONG,OPEN,9002,1,,2.51,14
DCE.c.HOT,202108312255,LONG,CLOSE,2477,1,,0,22
DCE.c.HOT,202108312300,LONG,OPEN,2478,1,,1.21,23
DCE.cs.HOT,202109010905,SHORT,CLOSE,2839,1,,0,24
DCE.c.HOT,202109010910,LONG,CLOSE,2475,1,,0,25
DCE.cs.HOT,202109010910,SHORT,OPEN,2850,1,,1.51,25
DCE.cs.HOT,202109010915,SHORT,CLOSE,2863,1,,0,26
DCE.c.HOT,202109010920,LONG,OPEN,2478,1,,1.21,27
DCE.cs.HOT,202109010920,SHORT,OPEN,2854,1,,1.51,27
DCE.cs.HOT,202109010925,SHORT,CLOSE,2856,1,,0,28
DCE.m.HOT,202109010930,LONG,CLOSE,3488,1,,0,29
DCE.c.HOT,202109010930,LONG,CLOSE,2479,1,,0,29
DCE.cs.HOT,202109010930,SHORT,OPEN,2855,1,,1.51,29
DCE.m.HOT,202109010935,LONG,OPEN,3486,1,,1.51,30
DCE.c.HOT,202109010935,LONG,OPEN,2479,1,,1.21,30
DCE.c.HOT,202109010950,LONG,CLOSE,2479,1,,0,33
DCE.cs.HOT,202109010955,SHORT,CLOSE,2864,1,,0,34
DCE.m.HOT,202109011000,LONG,CLOSE,3492,1,,0,35
DCE.c.HOT,202109011000,LONG,OPEN,2478,1,,1.21,35
DCE.cs.HOT,202109011000,SHORT,OPEN,2863,1,,1.51,35
DCE.m.HOT,202109011005,LONG,OPEN,3491,1,,1.51,36
DCE.m.HOT,202109011040,LONG,CLOSE,3490,1,,0,40
DCE.y.HOT,202109011040,LONG,CLOSE,8952,1,,0,40
DCE.c.HOT,202109011040,LONG,CLOSE,2471,1,,0,40
DCE.cs.HOT,202109011040,SHORT,CLOSE,2857,1,,0,40
DCE.m.HOT,202109011045,LONG,OPEN,3486,1,,1.51,41
DCE.y.HOT,202109011045,LONG,OPEN,8942,1,,2.51,41
DCE.c.HOT,202109011045,LONG,OPEN,2472,1,,1.21,41
DCE.cs.HOT,202109011045,SHORT,OPEN,2861,1,,1.51,41
DCE.cs.HOT,202109011055,SHORT,CLOSE,2862,1,,0,43
DCE.m.HOT,202109011115,LONG,CLOSE,3494,1,,0,47
DCE.cs.HOT,202109011115,SHORT,OPEN,2861,1,,1.51,47
DCE.m.HOT,202109011120,LONG,OPEN,3496,1,,1.51,48
DCE.y.HOT,202109011335,LONG,CLOSE,8974,1,,0,51
DCE.cs.HOT,202109011335,SHORT,CLOSE,2860,1,,0,51
DCE.y.HOT,202109011340,LONG,OPEN,8974,1,,2.51,52
DCE.cs.HOT,202109011340,SHORT,OPEN,2858,1,,1.51,52
DCE.y.HOT,202109011355,LONG,CLOSE,8982,1,,0,55
DCE.cs.HOT,202109011355,SHORT,CLOSE,2853,1,,0,55
DCE.y.HOT,202109011400,LONG,OPEN,8966,1,,2.51,56
DCE.c.HOT,202109011400,LONG,CLOSE,2467,1,,0,56
DCE.c.HOT,202109011405,LONG,OPEN,2466,1,,1.21,57
DCE.cs.HOT,202109011405,SHORT,OPEN,2853,1,,1.51,57
DCE.m.HOT,202109011410,LONG,CLOSE,3493,1,,0,58
DCE.m.HOT,202109011420,LONG,OPEN,3493,1,,1.51,60
DCE.c.HOT,202109011420,LONG,CLOSE,2469,1,,0,60
DCE.c.HOT,202109011425,LONG,OPEN,2468,1,,1.21,61
DCE.c.HOT,202109011435,LONG,CLOSE,2467,1,,0,63
DCE.y.HOT,202109011440,LONG,CLOSE,8938,1,,0,64
DCE.y.HOT,202109011445,LONG,OPEN,8932,1,,2.51,65
DCE.c.HOT,202109011445,LONG,OPEN,2467,1,,1.21,65
DCE.c.HOT,202109011450,LONG,CLOSE,2466,1,,0,66
