date,closeprofit,positionprofit,dynbalance,fee
20210901,-7850.00,-1970.00,-9921.10,101.10
20210902,-11120.00,300.00,-11020.39,200.39
20210903,1020.00,-1180.00,-465.31,305.31
20210906,-1080.00,1670.00,188.12,401.88
20210907,2020.00,2180.00,3708.39,491.61
20210908,4500.00,-310.00,3601.82,588.18
20210909,-1450.00,1570.00,-555.88,675.88
20210910,-4300.00,-4000.00,-9072.26,772.26
20210913,-3520.00,-960.00,-5356.57,876.57
20210914,-4130.00,720.00,-4373.70,963.70
20210915,-2630.00,1730.00,-1965.59,1065.59
20210916,2360.00,130.00,1327.84,1162.16
20210917,-8790.00,-1580.00,-11608.72,1238.72
20210922,-11170.00,1940.00,-10552.92,1322.92
20210923,-3660.00,7700.00,2618.49,1421.51
20210924,2290.00,750.00,1520.20,1519.80
20210927,2040.00,-5180.00,-4757.70,1617.70
20210928,-10000.00,7570.00,-4155.44,1725.44
20210929,-8070.00,690.00,-9196.48,1816.48
20210930,1680.00,1010.00,766.68,1923.32
20211008,16400.00,1110.00,15525.83,1984.17
20211011,19370.00,390.00,17690.21,2069.79
20211012,15290.00,-640.00,12494.71,2155.29
20211013,12030.00,-50.00,9725.54,2254.46
20211014,7110.00,1420.00,6183.29,2346.71
20211015,11270.00,3230.00,12058.63,2441.37
20211018,15720.00,3510.00,16705.04,2524.96
20211019,17770.00,150.00,15294.15,2625.85
20211020,15980.00,11990.00,25257.92,2712.08
20211021,37070.00,-7430.00,26831.14,2808.86
20211022,12440.00,-160.00,9370.55,2909.45
20211025,15390.00,400.00,12786.40,3003.60
20211026,24510.00,-1190.00,20226.27,3093.73
20211027,18630.00,-240.00,15203.81,3186.19
20211028,18220.00,-2170.00,12779.07,3270.93
