code,time,direct,action,price,qty,tag,fee,barno
DCE.cs.HOT,202109011345,SHORT,OPEN,2861,1,,1.51,53
DCE.y.HOT,202109011355,LONG,CLOSE,8982,1,,0,55
DCE.y.HOT,202109011400,LONG,OPEN,8966,1,,2.51,56
DCE.cs.HOT,202109011425,SHORT,CLOSE,2854,1,,0,61
DCE.cs.HOT,202109011430,SHORT,OPEN,2856,1,,1.51,62
DCE.c.HOT,202109011440,LONG,CLOSE,2468,1,,0,64
DCE.c.HOT,202109011445,LONG,OPEN,2467,1,,1.21,65
DCE.m.HOT,202109011500,LONG,CLOSE,3492,1,,0,68
DCE.cs.HOT,202109011500,SHORT,CLOSE,2863,1,,0,68
DCE.m.HOT,202109012105,LONG,OPEN,3491,1,,1.51,69
DCE.cs.HOT,202109012105,SHORT,OPEN,2875,1,,1.51,69
DCE.m.HOT,202109012110,LONG,CLOSE,3492,1,,1.51,70
DCE.y.HOT,202109012110,LONG,CLOSE,8948,1,,2.51,70
DCE.m.HOT,202109012115,LONG,OPEN,3492,1,,1.51,71
DCE.y.HOT,202109012115,LONG,OPEN,8946,1,,2.51,71
DCE.m.HOT,202109012125,LONG,CLOSE,3493,1,,1.51,73
DCE.m.HOT,202109012130,LONG,OPEN,3489,1,,1.51,74
DCE.m.HOT,202109012135,LONG,CLOSE,3487,1,,1.51,75
DCE.m.HOT,202109012140,LONG,OPEN,3485,1,,1.51,76
DCE.y.HOT,202109012150,LONG,CLOSE,8936,1,,2.51,78
DCE.y.HOT,202109012155,LONG,OPEN,8916,1,,2.51,79
DCE.c.HOT,202109012210,LONG,CLOSE,2466,1,,1.21,82
DCE.c.HOT,202109012215,LONG,OPEN,2468,1,,1.21,83
DCE.cs.HOT,202109012220,SHORT,CLOSE,2879,1,,1.51,84
DCE.m.HOT,202109012225,LONG,CLOSE,3487,1,,1.51,85
DCE.cs.HOT,202109012225,SHORT,OPEN,2884,1,,1.51,85
DCE.m.HOT,202109012235,LONG,OPEN,3492,1,,1.51,87
DCE.y.HOT,202109012235,LONG,CLOSE,8920,1,,2.51,87
DCE.y.HOT,202109012245,LONG,OPEN,8904,1,,2.51,89
DCE.cs.HOT,202109012250,SHORT,CLOSE,2884,1,,1.51,90
DCE.cs.HOT,202109012255,SHORT,OPEN,2881,1,,1.51,91
DCE.cs.HOT,202109012300,SHORT,CLOSE,2881,1,,1.51,92
DCE.cs.HOT,202109020905,SHORT,OPEN,2881,1,,1.51,93
DCE.c.HOT,202109020915,LONG,CLOSE,2464,1,,1.21,95
DCE.cs.HOT,202109020915,SHORT,CLOSE,2871,1,,1.51,95
DCE.c.HOT,202109020920,LONG,OPEN,2460,1,,1.21,96
DCE.cs.HOT,202109020920,SHORT,OPEN,2869,1,,1.51,96
DCE.m.HOT,202109020925,LONG,CLOSE,3468,1,,0,97
DCE.c.HOT,202109020925,LONG,CLOSE,2459,1,,1.21,97
DCE.cs.HOT,202109020925,SHORT,CLOSE,2870,1,,0,97
DCE.m.HOT,202109020930,LONG,OPEN,3464,1,,1.51,98
DCE.y.HOT,202109020930,LONG,CLOSE,8852,1,,2.51,98
DCE.c.HOT,202109020930,LONG,OPEN,2460,1,,1.21,98
DCE.cs.HOT,202109020930,SHORT,OPEN,2870,1,,1.51,98
DCE.y.HOT,202109020935,LONG,OPEN,8878,1,,2.51,99
DCE.m.HOT,202109020940,LONG,CLOSE,3466,1,,0,100
DCE.m.HOT,202109020945,LONG,OPEN,3464,1,,1.51,101
DCE.y.HOT,202109020950,LONG,CLOSE,8870,1,,2.51,102
DCE.c.HOT,202109020950,LONG,CLOSE,2459,1,,1.21,102
DCE.y.HOT,202109020955,LONG,OPEN,8872,1,,2.51,103
DCE.c.HOT,202109020955,LONG,OPEN,2460,1,,1.21,103
DCE.y.HOT,202109021000,LONG,CLOSE,8876,1,,0,104
DCE.y.HOT,202109021005,LONG,OPEN,8882,1,,2.51,105
DCE.c.HOT,202109021005,LONG,CLOSE,2463,1,,1.21,105
DCE.c.HOT,202109021010,LONG,OPEN,2465,1,,1.21,106
DCE.m.HOT,202109021015,LONG,CLOSE,3475,1,,0,107
DCE.m.HOT,202109021035,LONG,OPEN,3474,1,,1.51,108
DCE.y.HOT,202109021035,LONG,CLOSE,8912,1,,0,108
DCE.y.HOT,202109021045,LONG,OPEN,8908,1,,2.51,110
DCE.cs.HOT,202109021045,SHORT,CLOSE,2880,1,,0,110
DCE.cs.HOT,202109021050,SHORT,OPEN,2878,1,,1.51,111
DCE.cs.HOT,202109021105,SHORT,CLOSE,2880,1,,0,114
DCE.y.HOT,202109021110,LONG,CLOSE,8936,1,,0,115
DCE.c.HOT,202109021110,LONG,CLOSE,2467,1,,0,115
DCE.cs.HOT,202109021110,SHORT,OPEN,2879,1,,1.51,115
DCE.y.HOT,202109021115,LONG,OPEN,8928,1,,2.51,116
DCE.c.HOT,202109021115,LONG,OPEN,2466,1,,1.21,116
DCE.c.HOT,202109021120,LONG,CLOSE,2475,1,,0,117
DCE.y.HOT,202109021125,LONG,CLOSE,8918,1,,0,118
DCE.c.HOT,202109021125,LONG,OPEN,2481,1,,1.21,118
DCE.m.HOT,202109021130,LONG,CLOSE,3488,1,,0,119
DCE.y.HOT,202109021130,LONG,OPEN,8918,1,,2.51,119
DCE.m.HOT,202109021335,LONG,OPEN,3484,1,,1.51,120
DCE.c.HOT,202109021340,LONG,CLOSE,2485,1,,0,121
DCE.cs.HOT,202109021340,SHORT,CLOSE,2890,1,,0,121
DCE.m.HOT,202109021345,LONG,CLOSE,3489,1,,0,122
DCE.y.HOT,202109021345,LONG,CLOSE,8942,1,,0,122
DCE.c.HOT,202109021345,LONG,OPEN,2488,1,,1.21,122
DCE.cs.HOT,202109021345,SHORT,OPEN,2894,1,,1.51,122
DCE.m.HOT,202109021350,LONG,OPEN,3489,1,,1.51,123
DCE.y.HOT,202109021350,LONG,OPEN,8932,1,,2.51,123
DCE.c.HOT,202109021350,LONG,CLOSE,2488,1,,0,123
DCE.c.HOT,202109021355,LONG,OPEN,2489,1,,1.21,124
DCE.c.HOT,202109021415,LONG,CLOSE,2496,1,,0,128
DCE.cs.HOT,202109021420,SHORT,CLOSE,2899,1,,0,129
DCE.c.HOT,202109021425,LONG,OPEN,2504,1,,1.21,130
DCE.cs.HOT,202109021430,SHORT,OPEN,2910,1,,1.51,131
DCE.c.HOT,202109021455,LONG,CLOSE,2500,1,,0,136
DCE.c.HOT,202109021500,LONG,OPEN,2496,1,,1.21,137
DCE.y.HOT,202109022110,LONG,CLOSE,8978,1,,2.51,139
DCE.y.HOT,202109022115,LONG,OPEN,8968,1,,2.51,140
DCE.y.HOT,202109022120,LONG,CLOSE,8944,1,,2.51,141
DCE.cs.HOT,202109022120,SHORT,CLOSE,2900,1,,1.51,141
DCE.y.HOT,202109022125,LONG,OPEN,8948,1,,2.51,142
DCE.c.HOT,202109022130,LONG,CLOSE,2495,1,,1.21,143
DCE.cs.HOT,202109022130,SHORT,OPEN,2896,1,,1.51,143
DCE.c.HOT,202109022135,LONG,OPEN,2495,1,,1.21,144
DCE.cs.HOT,202109022135,SHORT,CLOSE,2895,1,,1.51,144
DCE.y.HOT,202109022140,LONG,CLOSE,8942,1,,2.51,145
DCE.c.HOT,202109022145,LONG,CLOSE,2498,1,,1.21,146
DCE.y.HOT,202109022150,LONG,OPEN,8936,1,,2.51,147
DCE.m.HOT,202109022155,LONG,CLOSE,3501,1,,1.51,148
DCE.c.HOT,202109022155,LONG,OPEN,2497,1,,1.21,148
DCE.cs.HOT,202109022155,SHORT,OPEN,2902,1,,1.51,148
DCE.m.HOT,202109022200,LONG,OPEN,3500,1,,1.51,149
DCE.cs.HOT,202109022215,SHORT,CLOSE,2903,1,,1.51,152
DCE.c.HOT,202109022220,LONG,CLOSE,2492,1,,1.21,153
DCE.cs.HOT,202109022220,SHORT,OPEN,2899,1,,1.51,153
DCE.c.HOT,202109022225,LONG,OPEN,2494,1,,1.21,154
DCE.c.HOT,202109022230,LONG,CLOSE,2495,1,,1.21,155
DCE.m.HOT,202109022235,LONG,CLOSE,3504,1,,1.51,156
DCE.m.HOT,202109022240,LONG,OPEN,3502,1,,1.51,157
DCE.y.HOT,202109022240,LONG,CLOSE,8948,1,,2.51,157
DCE.c.HOT,202109022240,LONG,OPEN,2494,1,,1.21,157
DCE.cs.HOT,202109022240,SHORT,CLOSE,2903,1,,1.51,157
DCE.m.HOT,202109022245,LONG,CLOSE,3501,1,,1.51,158
DCE.y.HOT,202109022245,LONG,OPEN,8940,1,,2.51,158
DCE.cs.HOT,202109022245,SHORT,OPEN,2903,1,,1.51,158
DCE.m.HOT,202109022250,LONG,OPEN,3503,1,,1.51,159
DCE.c.HOT,202109022255,LONG,CLOSE,2493,1,,1.21,160
DCE.c.HOT,202109030905,LONG,OPEN,2496,1,,1.21,162
DCE.c.HOT,202109030915,LONG,CLOSE,2497,1,,0,164
DCE.c.HOT,202109030920,LONG,OPEN,2495,1,,1.21,165
DCE.m.HOT,202109030925,LONG,CLOSE,3497,1,,1.51,166
DCE.m.HOT,202109030930,LONG,OPEN,3496,1,,1.51,167
DCE.y.HOT,202109031000,LONG,CLOSE,8936,1,,2.51,173
DCE.c.HOT,202109031000,LONG,CLOSE,2493,1,,0,173
DCE.c.HOT,202109031000,LONG,CLOSE,2493,1,,0,173
DCE.c.HOT,202109031005,LONG,OPEN,2493,2,,2.42,174
