code,target,sigprice,gentime,usertag
DCE.m.HOT,4,3486,20210906143000000,
DCE.c.HOT,1,2463,20210906143500000,
DCE.m.HOT,5,3484,20210906143500000,
DCE.c.HOT,-5,2462,20210906144000000,
DCE.c.HOT,-4,2462,20210906145500000,
DCE.c.HOT,5,2461,20210906150000000,
DCE.m.HOT,4,3486,20210906150000000,
DCE.m.HOT,-5,3484,20210906210500000,
DCE.c.HOT,-5,2460,20210906211000000,
DCE.cs.HOT,3,2875,20210906211000000,
DCE.m.HOT,5,3484,20210906211000000,
DCE.cs.HOT,2,2878,20210906211500000,
DCE.m.HOT,3,3486,20210906211500000,
DCE.cs.HOT,-5,2883,20210906212000000,
DCE.m.HOT,0,3485,20210906212000000,
DCE.m.HOT,-5,3486,20210906212500000,
DCE.c.HOT,5,2462,20210906220000000,
DCE.m.HOT,5,3488,20210906220000000,
DCE.cs.HOT,4,2889,20210906220500000,
DCE.cs.HOT,-4,2888,20210906221000000,
DCE.m.HOT,-5,3495,20210906221000000,
DCE.cs.HOT,-5,2886,20210906221500000,
DCE.m.HOT,5,3501,20210906221500000,
DCE.cs.HOT,2,2890,20210906222000000,
DCE.m.HOT,-5,3504,20210906222000000,
DCE.cs.HOT,3,2890,20210906222500000,
DCE.cs.HOT,-5,2888,20210906223000000,
DCE.m.HOT,5,3503,20210906223000000,
DCE.cs.HOT,-0,2886,20210906225500000,
DCE.cs.HOT,5,2885,20210906230000000,
DCE.cs.HOT,3,2883,20210907090500000,
DCE.m.HOT,-2,3490,20210907090500000,
DCE.cs.HOT,5,2881,20210907091000000,
DCE.m.HOT,3,3483,20210907091000000,
DCE.m.HOT,-5,3488,20210907091500000,
DCE.cs.HOT,4,2879,20210907093000000,
DCE.cs.HOT,3,2879,20210907093500000,
DCE.cs.HOT,-5,2879,20210907094000000,
DCE.m.HOT,-3,3515,20210907105500000,
DCE.m.HOT,-0,3517,20210907110500000,
DCE.m.HOT,-5,3519,20210907111000000,
DCE.m.HOT,2,3519,20210907111500000,
DCE.m.HOT,-3,3518,20210907112000000,
DCE.m.HOT,-5,3519,20210907112500000,
DCE.m.HOT,-0,3516,20210907134000000,
DCE.cs.HOT,5,2872,20210907134500000,
DCE.m.HOT,5,3518,20210907134500000,
DCE.cs.HOT,-5,2872,20210907141500000,
DCE.cs.HOT,0,2872,20210907142000000,
DCE.cs.HOT,-5,2873,20210907142500000,
DCE.cs.HOT,4,2872,20210907143000000,
DCE.cs.HOT,5,2869,20210907143500000,
DCE.m.HOT,-5,3512,20210907214000000,
DCE.c.HOT,-5,2474,20210907223000000,
DCE.c.HOT,-3,2475,20210907223500000,
DCE.c.HOT,-5,2476,20210907224000000,
DCE.m.HOT,0,3498,20210907225000000,
DCE.m.HOT,-2,3500,20210907225500000,
DCE.m.HOT,1,3501,20210907230000000,
DCE.m.HOT,-5,3503,20210908090500000,
DCE.c.HOT,5,2478,20210908091500000,
DCE.c.HOT,1,2476,20210908095000000,
DCE.c.HOT,-3,2475,20210908095500000,
DCE.c.HOT,5,2474,20210908100000000,
DCE.m.HOT,-4,3510,20210908100500000,
DCE.m.HOT,-3,3508,20210908101000000,
DCE.m.HOT,-5,3508,20210908101500000,
DCE.c.HOT,-5,2476,20210908103500000,
DCE.m.HOT,5,3512,20210908103500000,
DCE.m.HOT,4,3510,20210908105000000,
DCE.m.HOT,-4,3510,20210908105500000,
DCE.c.HOT,-3,2474,20210908110000000,
DCE.m.HOT,-5,3507,20210908110000000,
DCE.c.HOT,-4,2475,20210908111000000,
DCE.c.HOT,-5,2477,20210908111500000,
DCE.m.HOT,-4,3504,20210908113000000,
DCE.m.HOT,5,3505,20210908133500000,
DCE.cs.HOT,-5,2829,20210908141500000,
DCE.cs.HOT,2,2830,20210908144500000,
DCE.cs.HOT,5,2832,20210908145000000,
DCE.cs.HOT,-5,2833,20210908145500000,
DCE.cs.HOT,5,2829,20210908211000000,
DCE.m.HOT,-2,3475,20210908225000000,
DCE.m.HOT,-5,3475,20210908225500000,
DCE.m.HOT,5,3482,20210909090500000,
DCE.m.HOT,-5,3471,20210909094500000,
DCE.m.HOT,5,3473,20210909095000000,
DCE.c.HOT,-4,2455,20210909100000000,
DCE.c.HOT,-5,2456,20210909101000000,
DCE.c.HOT,2,2457,20210909103500000,
DCE.c.HOT,4,2457,20210909104000000,
DCE.c.HOT,-5,2456,20210909104500000,
DCE.cs.HOT,4,2832,20210909104500000,
DCE.m.HOT,-1,3483,20210909104500000,
DCE.cs.HOT,-5,2840,20210909105000000,
DCE.m.HOT,-5,3479,20210909105000000,
DCE.m.HOT,5,3476,20210909105500000,
DCE.m.HOT,1,3477,20210909110000000,
DCE.m.HOT,5,3474,20210909110500000,
DCE.cs.HOT,-4,2843,20210909112000000,
DCE.cs.HOT,3,2841,20210909112500000,
DCE.m.HOT,2,3473,20210909112500000,
DCE.cs.HOT,5,2838,20210909113000000,
DCE.m.HOT,-5,3473,20210909113000000,
DCE.cs.HOT,-5,2837,20210909134500000,
DCE.c.HOT,5,2460,20210909142000000,
DCE.cs.HOT,5,2840,20210909142500000,
DCE.cs.HOT,-3,2832,20210909150000000,
DCE.cs.HOT,5,2830,20210909210500000,
DCE.cs.HOT,2,2832,20210909211000000,
DCE.cs.HOT,-5,2832,20210909211500000,
DCE.m.HOT,5,3475,20210909212000000,
DCE.m.HOT,-2,3470,20210909213000000,
DCE.m.HOT,-5,3464,20210909213500000,
DCE.m.HOT,2,3466,20210910110000000,
DCE.y.HOT,-1,9144,20210910110000000,
DCE.m.HOT,-5,3467,20210910110500000,
DCE.y.HOT,-5,9130,20210910110500000,
DCE.m.HOT,3,3468,20210910111500000,
DCE.m.HOT,1,3465,20210910112000000,
DCE.m.HOT,3,3465,20210910112500000,
DCE.m.HOT,-5,3467,20210910113000000,
DCE.c.HOT,-5,2458,20210910135500000,
DCE.y.HOT,5,8980,20210910135500000,
DCE.c.HOT,1,2459,20210910140000000,
DCE.c.HOT,-5,2458,20210910140500000,
DCE.c.HOT,3,2457,20210910142000000,
DCE.c.HOT,5,2458,20210910142500000,
DCE.m.HOT,5,3495,20210910145000000,
DCE.c.HOT,4,2455,20210910145500000,
DCE.c.HOT,5,2453,20210910150000000,
DCE.cs.HOT,-3,2849,20210910214500000,
DCE.cs.HOT,-4,2847,20210910215000000,
DCE.cs.HOT,3,2848,20210910215500000,
DCE.cs.HOT,5,2847,20210910220000000,
DCE.cs.HOT,2,2844,20210910221000000,
DCE.cs.HOT,-5,2843,20210910221500000,
DCE.cs.HOT,-3,2838,20210910224000000,
DCE.cs.HOT,-2,2837,20210910224500000,
DCE.m.HOT,4,3507,20210910224500000,
