code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
DCE.y.HOT,LONG,202108312110,9082,202108312115,9068,1,-140,40,-160,-170.98,,,1,2
DCE.c.HOT,LONG,202108312110,2479,202108312135,2475,1,-40,10,-50,-216.21,,,1,6
DCE.m.HOT,LONG,202108312110,3508,202108312155,3497,1,-110,80,-160,-327.42,,,1,10
DCE.m.HOT,LONG,202108312110,3508,202108312210,3488,1,-200,100,-200,-528.93,,,1,13
DCE.cs.HOT,SHORT,202108312110,2827,202108312210,2840,1,-130,40,-140,-658.93,,,1,13
DCE.y.HOT,LONG,202108312110,9082,202108312215,9002,1,-800,50,-1000,-1460.44,,,1,14
DCE.y.HOT,LONG,202108312110,9082,202108312225,8984,1,-980,66.6667,-1333.33,-2444.46,,,1,16
DCE.m.HOT,LONG,202108312110,3508,202108312230,3488,1,-200,133.333,-266.667,-2644.46,,,1,17
DCE.m.HOT,LONG,202108312110,3508,202108312245,3487,1,-210,200,-400,-2858.48,,,1,20
DCE.c.HOT,LONG,202108312110,2479,202109010915,2478,1,-10,40,-70,-2869.99,,,1,26
DCE.c.HOT,LONG,202108312110,2479,202109010925,2481,1,20,60,-105,-2849.99,,,1,28
DCE.c.HOT,LONG,202108312110,2479,202109010935,2479,1,0,120,-210,-2852.41,,,1,30
DCE.m.HOT,LONG,202108312110,3508,202109010945,3485,1,-230,400,-800,-3083.62,,,1,32
DCE.y.HOT,LONG,202108312110,9082,202109010950,8964,1,-1180,100,-2000,-4265.13,,,1,33
DCE.m.HOT,LONG,202108312200,3493,202109011000,3492,1,-10,50,-140,-4277.64,,,11,35
DCE.y.HOT,LONG,202108312110,9082,202109011005,8962,1,-1200,200,-4000,-5479.15,,,1,36
DCE.m.HOT,LONG,202108312215,3493,202109011015,3496,1,30,70,-140,-5451.66,,,14,38
DCE.y.HOT,LONG,202108312120,9058,202109011015,8954,1,-1040,180,-1160,-6491.66,,,3,38
DCE.c.HOT,LONG,202108312115,2477,202109011040,2471,1,-60,60,-60,-6555.68,,,2,40
DCE.y.HOT,LONG,202108312220,8990,202109011050,8936,1,-540,60,-620,-7096.89,,,15,42
DCE.c.HOT,LONG,202108312140,2476,202109011100,2474,1,-20,70,-50,-7119.4,,,7,44
DCE.y.HOT,LONG,202108312230,8982,202109011115,8956,1,-260,100,-540,-7380.61,,,17,47
DCE.y.HOT,LONG,202109010955,8950,202109011125,8964,1,140,380,-220,-7243.12,,,34,49
DCE.c.HOT,LONG,202109010930,2479,202109011335,2476,1,-30,30,-80,-7275.63,,,29,51
