date,closeprofit,positionprofit,dynbalance,fee
20210901,-7290.00,-2710.00,-10094.13,94.13
20210902,-11870.00,880.00,-11181.84,191.84
20210903,-570.00,950.00,94.22,285.78
20210906,1060.00,180.00,872.45,367.55
20210907,2870.00,1890.00,4290.86,469.14
20210908,3770.00,100.00,3301.34,568.66
20210909,-700.00,2600.00,1229.87,670.13
20210910,-2630.00,-4400.00,-7804.55,774.55
20210913,-1410.00,-1460.00,-3751.58,881.58
20210914,-2680.00,-100.00,-3760.96,980.96
20210915,-2010.00,1600.00,-1496.99,1086.99
20210916,1750.00,370.00,949.78,1170.22
20210917,-8090.00,-2740.00,-12074.46,1244.46
20210922,-13070.00,2360.00,-12015.93,1305.93
20210923,-4020.00,7160.00,1735.48,1404.52
20210924,2610.00,740.00,1850.43,1499.57
20210927,-250.00,-3280.00,-5129.74,1599.74
20210928,-4640.00,2020.00,-4305.85,1685.85
20210929,-8320.00,1000.00,-9105.04,1785.04
20210930,420.00,3260.00,1800.18,1879.82
20211008,16810.00,1380.00,16231.21,1958.79
20211011,22940.00,-2450.00,18425.37,2064.63
20211012,16220.00,-420.00,13635.50,2164.50
20211013,12460.00,1040.00,11231.41,2268.59
20211014,7950.00,1320.00,6913.19,2356.81
20211015,10490.00,3320.00,11358.55,2451.45
20211018,15560.00,1220.00,14235.69,2544.31
20211019,17300.00,250.00,14903.27,2646.73
20211020,20670.00,7200.00,25117.27,2752.73
20211021,38180.00,-8140.00,27198.93,2841.07
20211022,13300.00,80.00,10441.47,2938.53
20211025,16420.00,1050.00,14431.98,3038.02
20211026,28120.00,-2740.00,22244.80,3135.20
20211027,24300.00,-4720.00,16375.35,3204.65
20211028,13170.00,3810.00,13680.59,3299.41
