code,time,direct,action,price,qty,tag,fee,barno
DCE.m.HOT,202108312110,LONG,OPEN,3508,5,,7.55,1
DCE.y.HOT,202108312110,LONG,OPEN,9082,5,,12.55,1
DCE.c.HOT,202108312110,LONG,OPEN,2479,4,,4.84,1
DCE.cs.HOT,202108312110,SHORT,OPEN,2827,4,,6.04,1
DCE.y.HOT,202108312115,LONG,CLOSE,9068,1,,0,2
DCE.c.HOT,202108312115,LONG,OPEN,2477,1,,1.21,2
DCE.cs.HOT,202108312115,SHORT,OPEN,2828,1,,1.51,2
DCE.y.HOT,202108312120,LONG,OPEN,9058,1,,2.51,3
DCE.c.HOT,202108312135,LONG,CLOSE,2475,1,,0,6
DCE.c.HOT,202108312140,LONG,OPEN,2476,1,,1.21,7
DCE.m.HOT,202108312155,LONG,CLOSE,3497,1,,0,10
DCE.m.HOT,202108312200,LONG,OPEN,3493,1,,1.51,11
DCE.m.HOT,202108312210,LONG,CLOSE,3488,1,,0,13
DCE.cs.HOT,202108312210,SHORT,CLOSE,2840,1,,0,13
DCE.m.HOT,202108312215,LONG,OPEN,3493,1,,1.51,14
DCE.y.HOT,202108312215,LONG,CLOSE,9002,1,,0,14
DCE.cs.HOT,202108312215,SHORT,OPEN,2848,1,,1.51,14
DCE.y.HOT,202108312220,LONG,OPEN,8990,1,,2.51,15
DCE.y.HOT,202108312225,LONG,CLOSE,8984,1,,0,16
DCE.m.HOT,202108312230,LONG,CLOSE,3488,1,,0,17
DCE.y.HOT,202108312230,LONG,OPEN,8982,1,,2.51,17
DCE.m.HOT,202108312240,LONG,OPEN,3488,1,,1.51,19
DCE.m.HOT,202108312245,LONG,CLOSE,3487,1,,0,20
DCE.m.HOT,202108312250,LONG,OPEN,3491,1,,1.51,21
DCE.c.HOT,202109010915,LONG,CLOSE,2478,1,,0,26
DCE.c.HOT,202109010925,LONG,CLOSE,2481,1,,0,28
DCE.c.HOT,202109010930,LONG,OPEN,2479,2,,2.42,29
DCE.c.HOT,202109010935,LONG,CLOSE,2479,1,,0,30
DCE.c.HOT,202109010940,LONG,OPEN,2479,1,,1.21,31
DCE.m.HOT,202109010945,LONG,CLOSE,3485,1,,0,32
DCE.m.HOT,202109010950,LONG,OPEN,3490,1,,1.51,33
DCE.y.HOT,202109010950,LONG,CLOSE,8964,1,,0,33
DCE.y.HOT,202109010955,LONG,OPEN,8950,1,,2.51,34
DCE.m.HOT,202109011000,LONG,CLOSE,3492,1,,0,35
DCE.m.HOT,202109011005,LONG,OPEN,3491,1,,1.51,36
DCE.y.HOT,202109011005,LONG,CLOSE,8962,1,,0,36
DCE.y.HOT,202109011010,LONG,OPEN,8964,1,,2.51,37
DCE.m.HOT,202109011015,LONG,CLOSE,3496,1,,0,38
DCE.y.HOT,202109011015,LONG,CLOSE,8954,1,,0,38
DCE.m.HOT,202109011035,LONG,OPEN,3495,1,,1.51,39
DCE.y.HOT,202109011035,LONG,OPEN,8940,1,,2.51,39
DCE.c.HOT,202109011040,LONG,CLOSE,2471,1,,0,40
DCE.c.HOT,202109011045,LONG,OPEN,2472,1,,1.21,41
DCE.y.HOT,202109011050,LONG,CLOSE,8936,1,,0,42
DCE.y.HOT,202109011055,LONG,OPEN,8934,1,,2.51,43
DCE.c.HOT,202109011100,LONG,CLOSE,2474,1,,0,44
DCE.c.HOT,202109011105,LONG,OPEN,2472,1,,1.21,45
DCE.y.HOT,202109011115,LONG,CLOSE,8956,1,,0,47
DCE.y.HOT,202109011120,LONG,OPEN,8962,1,,2.51,48
DCE.y.HOT,202109011125,LONG,CLOSE,8964,1,,0,49
DCE.y.HOT,202109011335,LONG,OPEN,8974,1,,2.51,51
DCE.c.HOT,202109011335,LONG,CLOSE,2476,1,,0,51
DCE.c.HOT,202109011340,LONG,OPEN,2472,1,,1.21,52
DCE.c.HOT,202109011350,LONG,CLOSE,2472,1,,0,54
DCE.c.HOT,202109011355,LONG,OPEN,2466,1,,1.21,55
DCE.m.HOT,202109011400,LONG,CLOSE,3494,1,,0,56
DCE.m.HOT,202109011405,LONG,OPEN,3493,1,,1.51,57
DCE.y.HOT,202109011405,LONG,CLOSE,8958,1,,0,57
DCE.y.HOT,202109011410,LONG,OPEN,8956,1,,2.51,58
DCE.m.HOT,202109011420,LONG,CLOSE,3493,1,,0,60
DCE.m.HOT,202109011425,LONG,OPEN,3492,1,,1.51,61
DCE.y.HOT,202109011425,LONG,CLOSE,8944,1,,0,61
DCE.y.HOT,202109011430,LONG,OPEN,8944,1,,2.51,62
DCE.y.HOT,202109011435,LONG,CLOSE,8952,1,,0,63
DCE.m.HOT,202109011440,LONG,CLOSE,3492,1,,0,64
