date,closeprofit,positionprofit,dynbalance,fee
20210901,-8350.00,-1700.00,-10134.51,84.51
20210902,-10940.00,-900.00,-12004.58,164.58
20210903,20.00,-1130.00,-1373.35,263.35
20210906,-1860.00,1510.00,-692.41,342.41
20210907,2020.00,1210.00,2794.62,435.38
20210908,1990.00,60.00,1513.31,536.69
20210909,-2120.00,2370.00,-394.92,644.92
20210910,-7660.00,-1120.00,-9520.00,740.00
20210913,-4060.00,-1560.00,-6464.54,844.54
20210914,-5620.00,480.00,-6078.62,938.62
20210915,-7390.00,4730.00,-3692.79,1032.79
20210916,-1060.00,490.00,-1711.42,1141.42
20210917,-8850.00,-4330.00,-14414.57,1234.57
20210922,-12060.00,-420.00,-13788.71,1308.71
20210923,-9690.00,10540.00,-549.24,1399.24
20210924,-1390.00,1880.00,-994.25,1484.25
20210927,-2000.00,-3760.00,-7334.97,1574.97
20210928,-8920.00,4030.00,-6555.01,1665.01
20210929,-12820.00,2980.00,-11611.73,1771.73
20210930,-80.00,1270.00,-682.94,1872.94
20211008,15710.00,-150.00,13614.53,1945.47
20211011,18780.00,-2010.00,14733.29,2036.71
20211012,12090.00,-470.00,9483.28,2136.72
20211013,8750.00,1380.00,7894.69,2235.31
20211014,4030.00,1840.00,3553.00,2317.00
20211015,8680.00,3740.00,10016.38,2403.62
20211018,12380.00,3380.00,13248.94,2511.06
20211019,14880.00,710.00,12984.19,2605.81
20211020,16440.00,8390.00,22130.74,2699.26
20211021,31550.00,-6020.00,22719.99,2810.01
20211022,9100.00,-880.00,5297.43,2922.57
20211025,12700.00,-710.00,8988.85,3001.15
20211026,21240.00,-1060.00,17065.92,3114.08
20211027,18740.00,-3340.00,12197.99,3202.01
20211028,11530.00,2320.00,10531.20,3318.80
