code,time,direct,action,price,qty,tag,fee,barno
DCE.m.HOT,202108312110,LONG,OPEN,3508,5,,7.55,1
DCE.y.HOT,202108312110,LONG,OPEN,9082,5,,12.55,1
DCE.c.HOT,202108312110,LONG,OPEN,2479,5,,6.05,1
DCE.cs.HOT,202108312110,SHORT,OPEN,2827,4,,6.04,1
DCE.cs.HOT,202108312115,SHORT,OPEN,2828,1,,1.51,2
DCE.cs.HOT,202108312120,SHORT,CLOSE,2833,1,,0,3
DCE.y.HOT,202108312125,LONG,CLOSE,9050,1,,0,4
DCE.y.HOT,202108312130,LONG,OPEN,9066,1,,2.51,5
DCE.cs.HOT,202108312130,SHORT,OPEN,2832,1,,1.51,5
DCE.c.HOT,202108312135,LONG,CLOSE,2475,1,,0,6
DCE.c.HOT,202108312140,LONG,OPEN,2476,1,,1.21,7
DCE.cs.HOT,202108312140,SHORT,CLOSE,2833,1,,0,7
DCE.c.HOT,202108312145,LONG,CLOSE,2475,1,,0,8
DCE.cs.HOT,202108312145,SHORT,OPEN,2831,1,,1.51,8
DCE.c.HOT,202108312150,LONG,OPEN,2473,1,,1.21,9
DCE.y.HOT,202108312220,LONG,CLOSE,8990,1,,0,15
DCE.m.HOT,202108312225,LONG,CLOSE,3491,1,,0,16
DCE.y.HOT,202108312225,LONG,OPEN,8984,1,,2.51,16
DCE.m.HOT,202108312235,LONG,OPEN,3489,1,,1.51,18
DCE.c.HOT,202109010905,LONG,CLOSE,2477,1,,0,24
DCE.c.HOT,202109010910,LONG,OPEN,2475,1,,1.21,25
DCE.m.HOT,202109010920,LONG,CLOSE,3489,1,,0,27
DCE.m.HOT,202109010925,LONG,OPEN,3488,1,,1.51,28
DCE.y.HOT,202109010930,LONG,CLOSE,8968,1,,0,29
DCE.y.HOT,202109010935,LONG,OPEN,8958,1,,2.51,30
DCE.c.HOT,202109010955,LONG,CLOSE,2478,1,,0,34
DCE.y.HOT,202109011005,LONG,CLOSE,8962,1,,0,36
DCE.c.HOT,202109011005,LONG,OPEN,2477,1,,1.21,36
DCE.y.HOT,202109011010,LONG,OPEN,8964,1,,2.51,37
DCE.c.HOT,202109011010,LONG,CLOSE,2476,1,,0,37
DCE.c.HOT,202109011015,LONG,OPEN,2477,1,,1.21,38
DCE.c.HOT,202109011035,LONG,CLOSE,2475,1,,0,39
DCE.m.HOT,202109011040,LONG,CLOSE,3490,1,,0,40
DCE.c.HOT,202109011040,LONG,OPEN,2471,1,,1.21,40
DCE.cs.HOT,202109011040,SHORT,CLOSE,2857,1,,0,40
DCE.m.HOT,202109011045,LONG,OPEN,3486,1,,1.51,41
DCE.cs.HOT,202109011045,SHORT,OPEN,2861,1,,1.51,41
DCE.cs.HOT,202109011055,SHORT,CLOSE,2862,1,,0,43
DCE.c.HOT,202109011100,LONG,CLOSE,2474,1,,0,44
DCE.cs.HOT,202109011100,SHORT,OPEN,2861,1,,1.51,44
DCE.y.HOT,202109011110,LONG,CLOSE,8986,1,,0,46
DCE.c.HOT,202109011110,LONG,OPEN,2475,1,,1.21,46
DCE.cs.HOT,202109011110,SHORT,CLOSE,2860,1,,0,46
DCE.y.HOT,202109011115,LONG,OPEN,8956,1,,2.51,47
DCE.cs.HOT,202109011115,SHORT,OPEN,2861,1,,1.51,47
DCE.y.HOT,202109011120,LONG,CLOSE,8962,1,,0,48
DCE.y.HOT,202109011125,LONG,OPEN,8964,1,,2.51,49
DCE.c.HOT,202109011125,LONG,CLOSE,2476,1,,0,49
DCE.c.HOT,202109011130,LONG,OPEN,2476,1,,1.21,50
DCE.cs.HOT,202109011130,SHORT,CLOSE,2862,1,,0,50
DCE.cs.HOT,202109011335,SHORT,OPEN,2860,1,,1.51,51
DCE.m.HOT,202109011345,LONG,CLOSE,3495,1,,0,53
DCE.m.HOT,202109011350,LONG,OPEN,3494,1,,1.51,54
DCE.c.HOT,202109011350,LONG,CLOSE,2472,1,,0,54
DCE.c.HOT,202109011355,LONG,OPEN,2466,1,,1.21,55
DCE.y.HOT,202109011400,LONG,CLOSE,8966,1,,0,56
DCE.cs.HOT,202109011400,SHORT,CLOSE,2853,1,,0,56
DCE.m.HOT,202109011405,LONG,CLOSE,3493,1,,0,57
DCE.y.HOT,202109011405,LONG,OPEN,8958,1,,2.51,57
DCE.cs.HOT,202109011405,SHORT,OPEN,2853,1,,1.51,57
DCE.m.HOT,202109011410,LONG,OPEN,3493,1,,1.51,58
DCE.cs.HOT,202109011415,SHORT,CLOSE,2853,1,,0,59
DCE.cs.HOT,202109011420,SHORT,OPEN,2855,1,,1.51,60
DCE.m.HOT,202109011435,LONG,CLOSE,3494,1,,0,63
DCE.m.HOT,202109011440,LONG,OPEN,3492,1,,1.51,64
