date,closeprofit,positionprofit,dynbalance,fee
20210901,-8540.00,-1560.00,-10186.62,86.62
20210902,-11600.00,560.00,-11222.82,182.82
20210903,-2840.00,2960.00,-145.82,265.82
20210906,-890.00,1340.00,75.43,374.57
20210907,3580.00,1350.00,4452.24,477.76
20210908,4960.00,-1250.00,3141.01,568.99
20210909,150.00,780.00,270.26,659.74
20210910,-7040.00,-130.00,-7930.43,760.43
20210913,-2430.00,-1650.00,-4925.12,845.12
20210914,-4180.00,1530.00,-3588.67,938.67
20210915,-3140.00,2580.00,-1593.24,1033.24
20210916,1400.00,1210.00,1467.01,1142.99
20210917,-3010.00,-7360.00,-11600.52,1230.52
20210922,-12340.00,2620.00,-11026.68,1306.68
20210923,1940.00,1460.00,1990.43,1409.57
20210924,1910.00,1180.00,1585.65,1504.35
20210927,1520.00,-4800.00,-4871.97,1591.97
20210928,-7540.00,4660.00,-4567.61,1687.61
20210929,-8740.00,1800.00,-8714.20,1774.20
20210930,3000.00,1910.00,3035.31,1874.69
20211008,18160.00,2400.00,18596.69,1963.31
20211011,23390.00,-740.00,20587.29,2062.71
20211012,18730.00,-1880.00,14708.71,2141.29
20211013,17280.00,-1460.00,13566.37,2253.63
20211014,11370.00,1120.00,10135.48,2354.52
20211015,14470.00,2880.00,14911.88,2438.12
20211018,19270.00,2180.00,18928.58,2521.42
20211019,20670.00,390.00,18451.17,2608.83
20211020,24910.00,5650.00,27860.11,2699.89
20211021,40750.00,-7570.00,30378.62,2801.38
20211022,18600.00,-250.00,15452.33,2897.67
20211025,19330.00,630.00,16974.41,2985.59
20211026,28560.00,-890.00,24598.49,3071.51
20211027,24050.00,-1570.00,19309.48,3170.52
20211028,16100.00,2980.00,15811.08,3268.92
