code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
DCE.y.HOT,LONG,202108312110,9082,202108312115,9068,1,-140,40,-160,-172.19,,,1,2
DCE.c.HOT,LONG,202108312110,2479,202108312125,2476,1,-30,10,-30,-206.21,,,1,4
DCE.m.HOT,LONG,202108312110,3508,202108312135,3514,1,60,80,-10,-147.42,,,1,6
DCE.y.HOT,LONG,202108312110,9082,202108312200,9016,1,-660,50,-680,-808.93,,,1,11
DCE.c.HOT,LONG,202108312110,2479,202108312215,2482,1,30,40,-70,-781.44,,,1,14
DCE.cs.HOT,SHORT,202108312110,2827,202108312215,2848,1,-210,40,-240,-991.44,,,1,14
DCE.cs.HOT,SHORT,202108312110,2827,202108312235,2845,1,-180,53.3333,-320,-1174.16,,,1,18
DCE.c.HOT,LONG,202108312110,2479,202108312240,2480,1,10,53.3333,-93.3333,-1164.16,,,1,19
DCE.m.HOT,LONG,202108312110,3508,202108312245,3487,1,-210,100,-230,-1375.67,,,1,20
DCE.c.HOT,LONG,202108312110,2479,202108312255,2477,1,-20,80,-140,-1398.39,,,1,22
DCE.m.HOT,LONG,202108312110,3508,202109010905,3498,1,-100,133.333,-306.667,-1498.39,,,1,24
DCE.cs.HOT,SHORT,202108312110,2827,202109010920,2854,1,-270,80,-480,-1771.11,,,1,27
DCE.m.HOT,LONG,202108312110,3508,202109010935,3486,1,-220,200,-460,-1992.62,,,1,30
DCE.y.HOT,LONG,202108312110,9082,202109010935,8958,1,-1240,66.6667,-1400,-3232.62,,,1,30
DCE.c.HOT,LONG,202108312110,2479,202109010940,2479,1,0,160,-280,-3236.64,,,1,31
DCE.cs.HOT,SHORT,202108312110,2827,202109011000,2863,1,-360,160,-960,-3597.85,,,1,35
DCE.cs.HOT,SHORT,202108312115,2828,202109011035,2864,1,-360,20,-390,-3959.36,,,2,39
DCE.c.HOT,LONG,202108312130,2474,202109011040,2471,1,-30,90,-30,-3989.36,,,5,40
DCE.cs.HOT,SHORT,202108312220,2845,202109011045,2861,1,-160,70,-220,-4152.08,,,15,41
DCE.cs.HOT,SHORT,202108312240,2847,202109011055,2862,1,-150,90,-200,-4303.59,,,19,43
DCE.m.HOT,LONG,202108312110,3508,202109011105,3493,1,-150,400,-920,-4455.1,,,1,45
DCE.y.HOT,LONG,202108312110,9082,202109011105,8970,1,-1120,100,-2100,-5575.1,,,1,45
DCE.c.HOT,LONG,202108312220,2481,202109011105,2472,1,-90,10,-100,-5665.1,,,15,45
DCE.cs.HOT,SHORT,202109010925,2856,202109011110,2860,1,-40,20,-110,-5710.33,,,28,46
DCE.m.HOT,LONG,202108312150,3496,202109011120,3496,1,0,40,-170,-5711.84,,,9,48
DCE.m.HOT,LONG,202108312250,3491,202109011130,3497,1,60,90,-120,-5653.35,,,21,50
DCE.y.HOT,LONG,202108312110,9082,202109011130,8968,1,-1140,200,-4200,-6793.35,,,1,50
DCE.c.HOT,LONG,202108312245,2480,202109011410,2466,1,-140,20,-170,-6937.37,,,20,58
DCE.cs.HOT,SHORT,202109011005,2864,202109011415,2853,1,110,140,-20,-6828.58,,,36,59
DCE.m.HOT,LONG,202109010910,3490,202109011420,3493,1,30,100,-110,-6798.58,,,25,60
DCE.y.HOT,LONG,202108312120,9058,202109011430,8944,1,-1140,180,-1300,-7941.6,,,3,62
DCE.y.HOT,LONG,202108312210,8990,202109011450,8940,1,-500,140,-660,-8444.11,,,13,66
DCE.y.HOT,LONG,202109010940,8962,202109011500,8950,1,-120,280,-380,-8566.62,,,31,68
DCE.cs.HOT,SHORT,202109011040,2857,202109011500,2863,1,-60,70,-70,-8626.62,,,40,68
DCE.y.HOT,LONG,202109011110,8986,202109012120,8942,1,-440,40,-660,-9073.15,,,46,72
DCE.cs.HOT,SHORT,202109011050,2863,202109012135,2877,1,-140,130,-310,-9214.66,,,42,75
DCE.m.HOT,LONG,202109010940,3485,202109012140,3485,1,0,150,-40,-9216.17,,,31,76
DCE.cs.HOT,SHORT,202109011100,2861,202109012145,2883,1,-220,110,-330,-9443.21,,,44,77
DCE.c.HOT,LONG,202109010905,2477,202109012155,2468,1,-90,50,-150,-9535.93,,,24,79
DCE.cs.HOT,SHORT,202109011115,2861,202109012200,2879,1,-180,110,-330,-9718.65,,,47,80
DCE.m.HOT,LONG,202109011110,3496,202109012205,3477,1,-190,40,-200,-9910.16,,,46,81
DCE.y.HOT,LONG,202109011335,8974,202109012205,8898,1,-760,160,-880,-10672.7,,,51,81
