code,time,direct,action,price,qty,tag,fee,barno
DCE.m.HOT,202108312110,LONG,OPEN,3508,5,,7.55,1
DCE.y.HOT,202108312110,LONG,OPEN,9082,5,,12.55,1
DCE.c.HOT,202108312110,LONG,OPEN,2479,5,,6.05,1
DCE.cs.HOT,202108312110,SHORT,OPEN,2827,4,,6.04,1
DCE.y.HOT,202108312115,LONG,CLOSE,9068,1,,0,2
DCE.cs.HOT,202108312115,SHORT,OPEN,2828,1,,1.51,2
DCE.y.HOT,202108312120,LONG,OPEN,9058,1,,2.51,3
DCE.c.HOT,202108312125,LONG,CLOSE,2476,1,,0,4
DCE.c.HOT,202108312130,LONG,OPEN,2474,1,,1.21,5
DCE.m.HOT,202108312135,LONG,CLOSE,3514,1,,0,6
DCE.m.HOT,202108312150,LONG,OPEN,3496,1,,1.51,9
DCE.y.HOT,202108312200,LONG,CLOSE,9016,1,,0,11
DCE.y.HOT,202108312210,LONG,OPEN,8990,1,,2.51,13
DCE.c.HOT,202108312215,LONG,CLOSE,2482,1,,0,14
DCE.cs.HOT,202108312215,SHORT,CLOSE,2848,1,,0,14
DCE.c.HOT,202108312220,LONG,OPEN,2481,1,,1.21,15
DCE.cs.HOT,202108312220,SHORT,OPEN,2845,1,,1.51,15
DCE.cs.HOT,202108312235,SHORT,CLOSE,2845,1,,0,18
DCE.c.HOT,202108312240,LONG,CLOSE,2480,1,,0,19
DCE.cs.HOT,202108312240,SHORT,OPEN,2847,1,,1.51,19
DCE.m.HOT,202108312245,LONG,CLOSE,3487,1,,0,20
DCE.c.HOT,202108312245,LONG,OPEN,2480,1,,1.21,20
DCE.m.HOT,202108312250,LONG,OPEN,3491,1,,1.51,21
DCE.c.HOT,202108312255,LONG,CLOSE,2477,1,,0,22
DCE.m.HOT,202109010905,LONG,CLOSE,3498,1,,0,24
DCE.c.HOT,202109010905,LONG,OPEN,2477,1,,1.21,24
DCE.m.HOT,202109010910,LONG,OPEN,3490,1,,1.51,25
DCE.cs.HOT,202109010920,SHORT,CLOSE,2854,1,,0,27
DCE.cs.HOT,202109010925,SHORT,OPEN,2856,1,,1.51,28
DCE.m.HOT,202109010935,LONG,CLOSE,3486,1,,0,30
DCE.y.HOT,202109010935,LONG,CLOSE,8958,1,,0,30
DCE.m.HOT,202109010940,LONG,OPEN,3485,1,,1.51,31
DCE.y.HOT,202109010940,LONG,OPEN,8962,1,,2.51,31
DCE.c.HOT,202109010940,LONG,CLOSE,2479,1,,0,31
DCE.c.HOT,202109010945,LONG,OPEN,2479,1,,1.21,32
DCE.cs.HOT,202109011000,SHORT,CLOSE,2863,1,,0,35
DCE.cs.HOT,202109011005,SHORT,OPEN,2864,1,,1.51,36
DCE.cs.HOT,202109011035,SHORT,CLOSE,2864,1,,0,39
DCE.c.HOT,202109011040,LONG,CLOSE,2471,1,,0,40
DCE.cs.HOT,202109011040,SHORT,OPEN,2857,1,,1.51,40
DCE.c.HOT,202109011045,LONG,OPEN,2472,1,,1.21,41
DCE.cs.HOT,202109011045,SHORT,CLOSE,2861,1,,0,41
DCE.cs.HOT,202109011050,SHORT,OPEN,2863,1,,1.51,42
DCE.cs.HOT,202109011055,SHORT,CLOSE,2862,1,,0,43
DCE.cs.HOT,202109011100,SHORT,OPEN,2861,1,,1.51,44
DCE.m.HOT,202109011105,LONG,CLOSE,3493,1,,0,45
DCE.y.HOT,202109011105,LONG,CLOSE,8970,1,,0,45
DCE.c.HOT,202109011105,LONG,CLOSE,2472,1,,0,45
DCE.m.HOT,202109011110,LONG,OPEN,3496,1,,1.51,46
DCE.y.HOT,202109011110,LONG,OPEN,8986,1,,2.51,46
DCE.c.HOT,202109011110,LONG,OPEN,2475,1,,1.21,46
DCE.cs.HOT,202109011110,SHORT,CLOSE,2860,1,,0,46
DCE.cs.HOT,202109011115,SHORT,OPEN,2861,1,,1.51,47
DCE.m.HOT,202109011120,LONG,CLOSE,3496,1,,0,48
DCE.m.HOT,202109011125,LONG,OPEN,3497,1,,1.51,49
DCE.m.HOT,202109011130,LONG,CLOSE,3497,1,,0,50
DCE.y.HOT,202109011130,LONG,CLOSE,8968,1,,0,50
DCE.m.HOT,202109011335,LONG,OPEN,3496,1,,1.51,51
DCE.y.HOT,202109011335,LONG,OPEN,8974,1,,2.51,51
DCE.c.HOT,202109011410,LONG,CLOSE,2466,1,,0,58
DCE.c.HOT,202109011415,LONG,OPEN,2466,1,,1.21,59
DCE.cs.HOT,202109011415,SHORT,CLOSE,2853,1,,0,59
DCE.m.HOT,202109011420,LONG,CLOSE,3493,1,,0,60
DCE.cs.HOT,202109011420,SHORT,OPEN,2855,1,,1.51,60
